variable ordering: f1, f2, Eph1, Eph2, Eel1, Eel2, p1, p2, pel2, lambda1, lambda2, h, mel, c, cosTh
-.079120-1.25061*ii, -.256201+.377715*ii, 3.18569-.2227*ii, -.966876-.646533*ii, -2.21881-3.36861*ii, .604041-3.31468*ii, -.178106+.277965*ii, 2.62842+1.7248*ii, 1.41833+2.3615*ii, 1.22295-.36539*ii, -2.0398+2.84956*ii, .016849+2.54838*ii, -.195939+1.56456*ii, -.553721-1.50052*ii, -2.83223-2.46293*ii
.582093-4.21594*ii, -.411596+.61291*ii, 9.90238+6.78861*ii, -1.027-1.81188*ii, 3.64893-6.37399*ii, -1.97603-1.13148*ii, -.801349-.056817*ii, .719951+6.10999*ii, -.683164+.879413*ii, 1.5603-.444821*ii, -6.95769+6.25028*ii, -1.26187+2.52302*ii, -.110604+.107212*ii, -.967101-6.83703*ii, -.850986-3.67208*ii
-.741768-.2863*ii, -.933014+.097093*ii, .582905-.133582*ii, .540837-.453069*ii, -1.60143+.175549*ii, 1.04849+.032437*ii, .487454-.167717*ii, 1.23085+.640286*ii, -1.08088+.002553*ii, -.789703-1.22434*ii, -.12428-1.22864*ii, -.623448+.420718*ii, 1.14699+.354578*ii, .235248+1.13427*ii, .247577+.96546*ii
-.329637+.215206*ii, .16691+.223349*ii, -1.035+.987114*ii, .744188+.687304*ii, -.187186+.48328*ii, -.0571755-.0167045*ii, 2.31479-.42711*ii, 1.50126+.378138*ii, 1.03167+1.5678*ii, -.705395+.029635*ii, .021338-.996581*ii, 3.57226-.662375*ii, -6.70384-.264747*ii, .226147-.161574*ii, 1.1526-.634735*ii
-.0054834-.328579*ii, -.0671624+.279783*ii, .015111-.311036*ii, -.0807892+.260408*ii, -.0221897-.0425264*ii, .079797-.0862701*ii, 1.40415+.39508*ii, .770332+.67832*ii, -.400856+.890761*ii, -.14709+.360993*ii, .0597618-.441182*ii, .945578+.061769*ii, -2.74646-1.00069*ii, .119421+.0463511*ii, 1.27274-.20307*ii
-.947481+2.64051*ii, .455711+.248073*ii, .362466-6.09273*ii, -1.10325-.239088*ii, -3.0018-1.12328*ii, 4.2812+1.1763*ii, -1.73609-1.87154*ii, .918961-1.0731*ii, -.220897+3.62198*ii, .298985-.0705725*ii, .625007+1.53889*ii, -2.08784+.611899*ii, 4.27749+.570695*ii, -.096935+.856337*ii, -1.6666-.916172*ii
-.27593-.0775552*ii, -.287159-.0789915*ii, -.005294-.753854*ii, -.009856-.783278*ii, -1.11736-2.3578*ii, .996235+2.19065*ii, 1.20851+2.97186*ii, .582577+3.33081*ii, -1.52131+.924108*ii, 1.92777-.51111*ii, 1.85796-.481562*ii, .729453+2.52702*ii, -3.63198-7.111*ii, -.57157-.008478*ii, 1.10456-.062999*ii
-.234354-.897796*ii, -.00487231-.0604763*ii, -1.39793+.441277*ii, -.0950347+.0125042*ii, -.15553-.0989088*ii, .280619+.498648*ii, .930089-.734599*ii, 1.76537+.939851*ii, 2.66142+1.31154*ii, .158558-.12547*ii, 2.05389-2.31161*ii, -.079641-1.57785*ii, -3.91723+3.47499*ii, -.149805-.112949*ii, -.392895-1.14935*ii
-55.0687+21.4477*ii, -.150433+.0708705*ii, -8.87507-15.0999*ii, -.0278376-.0406691*ii, -.000590244+.000585428*ii, -.2538+73.3225*ii, 9.23307-16.2743*ii, 18.7831-18.4767*ii, 8.73221-1.26462*ii, .0697086-.122122*ii, 27.7016-41.5929*ii, .0472087+.292588*ii, .0000057177-.0000105935*ii, -1.21953+8.22018*ii, 1.01651+.016696*ii
.548395+.089149*ii, -.541996-.0832*ii, 2.01234+.004081*ii, -1.98604+.01352*ii, -3.46128+3.31586*ii, -2.65989+.566641*ii, 2.39701-2.45832*ii, -.3514-.109644*ii, -.478996+1.38725*ii, .840367-5.52392*ii, -.900894+5.58922*ii, 3.57621-.573917*ii, .0903149-.489106*ii, .953303-2.95438*ii, -2.47764+3.32819*ii
1.58315-.451404*ii, -.346043+.287479*ii, -2.96862+2.37597*ii, .480175-.921485*ii, .286659+.0283257*ii, 1.38562-1.95926*ii, .453368+1.91235*ii, -.240998+1.02791*ii, .035541-.952289*ii, 1.01345+1.15333*ii, -1.68968-5.35819*ii, -2.12989+.893488*ii, .0226027-.0390152*ii, 2.12507+1.36842*ii, .85487-.312638*ii
16.1452+28.6413*ii, -31.9759+3.04675*ii, -8.79174+16.3286*ii, -11.0878-14.3286*ii, 6.17107+29.1429*ii, 11.7728-33.5854*ii, -2.86969-2.86606*ii, -22.9118-19.1098*ii, 1.1016-.639928*ii, .143711-.801805*ii, -.809712+.19897*ii, .301322+.476816*ii, -.0185575+.0371534*ii, 25.285-8.82924*ii, 3.73654-.319198*ii
.0304012+.014748*ii, -.149503+.122085*ii, .502324+.093830*ii, -1.69373+2.37745*ii, 6.48378-4.65345*ii, -5.4572+4.14052*ii, 21.2476+5.88987*ii, .269214+.481696*ii, -9.46874+1.63949*ii, 9.36926+8.58091*ii, .672474-2.12002*ii, 14.5875-3.99016*ii, -42.9242-5.73124*ii, .158286+.399048*ii, 14.4525-10.4187*ii
.822507-.034744*ii, -.129844+.871816*ii, .189331+.375724*ii, -.433335+.123063*ii, -.406275-.060779*ii, -.32359-.187776*ii, .587132-.073052*ii, -.328149+.934103*ii, -.236708+.312841*ii, .625746-.853628*ii, -.893328-.423288*ii, .210516+.465695*ii, .277542-.464476*ii, .485023-.723856*ii, -.389794+.419839*ii
-.975136-1.8387*ii, .340255+.917733*ii, 4.04745+6.80975*ii, -1.46338-3.42598*ii, 5.30108-2.99125*ii, -1.24113+4.56071*ii, -.705121+.378478*ii, .365409+3.91988*ii, 1.11484-.715515*ii, 1.64196+1.73936*ii, -3.94975-3.2046*ii, -3.80171+.185058*ii, -.0965251+.225834*ii, 1.59704-4.71519*ii, .849749-2.40882*ii
3.187+3.29709*ii, -3.33509+1.06499*ii, .450562-1.10251*ii, .601984+.681518*ii, -.0601384-.330082*ii, 3.50023-3.84266*ii, -.127806+.612262*ii, -3.14702-.697447*ii, -3.00623-1.65277*ii, .176795+.27935*ii, .225305-.369781*ii, -.104582-.237744*ii, .0891025+.115646*ii, -.357598+1.4732*ii, 1.57023+.040491*ii
-.0914228+.483392*ii, 1.55009+.633247*ii, 1.41302-.106342*ii, .60511-4.78488*ii, -2.8913+.421984*ii, 2.91024+5.28201*ii, -1.62531-1.80167*ii, 2.52516+3.89466*ii, .220935+4.49911*ii, -1.61552-2.48608*ii, .621009-.610866*ii, -.746149-2.78202*ii, -1.10671-.813271*ii, 1.34945-.553645*ii, -.885437+.733253*ii
.708978+.917501*ii, -.265684+.353484*ii, .988457+1.79039*ii, -.558397+.544523*ii, -.122754+1.23741*ii, .516832-.666248*ii, 1.15706-.755952*ii, -.25708-.501203*ii, -.502576-.592616*ii, -.448602-1.23104*ii, -3.42433+.278256*ii, 1.74306+.269578*ii, -.461332-.278273*ii, .811433-1.28437*ii, .284081+1.38115*ii
-3.46326-.121929*ii, 2.01295+2.4233*ii, -.01666-9.81213*ii, -6.64658+5.94876*ii, -.247506+1.99839*ii, -1.84715+2.05989*ii, 4.78177-2.6188*ii, 2.18196-4.91366*ii, -1.40099+3.07999*ii, .197505+.119019*ii, -.242322+.074987*ii, .104429+2.82953*ii, 2.70641+1.61849*ii, -.669497-.436274*ii, .637681+.124139*ii
1.10529-.858256*ii, -.032939+1.31732*ii, -.583082-1.23584*ii, 1.24852+.311364*ii, -.085893+.0640528*ii, -1.7316-1.19209*ii, .606115+.026102*ii, -.722662+.945267*ii, -1.3348+.985457*ii, -.292946+.857731*ii, .902142-.335587*ii, .21253-.953085*ii, .0665864+.0014317*ii, .412362+1.19947*ii, 1.05105-.142083*ii
.243397+.445687*ii, -.115092-.813403*ii, 1.1341+.249172*ii, -1.57577-1.02244*ii, .179137+3.81583*ii, -.342967+3.37715*ii, 1.68421+1.67375*ii, -.0600569-.0759187*ii, -1.55673-2.18306*ii, -1.24979-1.04141*ii, .949583+.331001*ii, 1.50105-1.72486*ii, -2.36688-5.07226*ii, .159948-.810489*ii, 3.06802+4.85203*ii
-.0905788-.0507272*ii, .395387-2.09371*ii, -.0334124+.094995*ii, -2.06654-.029650*ii, -.104908-.229126*ii, -3.10377+.959787*ii, 2.31754+3.39758*ii, -.642152-2.58418*ii, 1.70075-5.4466*ii, 4.936+2.42678*ii, .188629-.190368*ii, -.166303-.95562*ii, -.54205+.5509*ii, -.323992-.470204*ii, -.844828+1.63115*ii
.383455-.20954*ii, -.37685-.54975*ii, .338948-.867071*ii, -1.36786-.381277*ii, -.95695+.866589*ii, -6.39877+.818709*ii, 4.478+.056239*ii, -3.08449-1.70766*ii, -2.28529-.883305*ii, 5.98414+.138094*ii, -.484897+3.89422*ii, 1.63219-1.36929*ii, -.184234-.0408505*ii, 2.32358-1.20096*ii, -.720673+.155686*ii
-1.34159-.536038*ii, -.656413-.560193*ii, .559931+.142096*ii, .289594+.187621*ii, .0423449+.157191*ii, -.108481+.171075*ii, .775588-.773482*ii, .752269-.201589*ii, -.331856+.396787*ii, -.292886+.0709719*ii, -.426361+.269741*ii, -.396401+.0524673*ii, .44736+.733098*ii, .430976+.0617828*ii, .797945-.072091*ii
-1.12268-.829898*ii, -1.00216+1.04148*ii, 3.35364+2.69819*ii, 3.21859-3.08177*ii, 1.22842-2.92017*ii, -1.51108+2.777*ii, -2.97154-.356183*ii, -1.11626+3.72017*ii, -1.95019-.252282*ii, -.237464+.457563*ii, -.467916-.170333*ii, -3.08048-.126218*ii, 5.908-1.58152*ii, .646326-.316625*ii, .151784-.424097*ii
-.198716-.028459*ii, -.134507+.943761*ii, -.595069-.934321*ii, -4.43502+2.8289*ii, 1.42808+1.95296*ii, -6.27081-9.36992*ii, 1.60677+5.64998*ii, 1.77616-6.68385*ii, 6.37006-4.41482*ii, .875338+7.02418*ii, -1.47926+.183323*ii, 3.59422+4.18705*ii, -.742134-.94074*ii, .025958-1.42073*ii, -1.14233+.603801*ii
-.114663+.0201148*ii, -.14418+.0052772*ii, -1.15316-.02235*ii, -1.41197-.222727*ii, -3.46618-.065971*ii, -3.46606-.065698*ii, 8.20832+5.93147*ii, 3.17104+1.22999*ii, -.0778971+.0757845*ii, 3.59504-.133392*ii, 2.85885-.502995*ii, 9.72355+1.90068*ii, -17.8788-8.42842*ii, -.409534+.0876085*ii, 1.60294+.334197*ii
.153871-.216174*ii, .233818+.145047*ii, -.400014+.612771*ii, -.660413-.37374*ii, -.238417-1.54833*ii, .338641+1.78729*ii, -.414977-.144161*ii, -.338411+1.04636*ii, 1.09082-.877955*ii, 2.45719-.562682*ii, -.391508-2.39919*ii, -2.75561+.110999*ii, 2.82717+2.06586*ii, .256454-.617762*ii, -1.87429-.202537*ii
-.261477+.241468*ii, -.43072+.229333*ii, .101726+.130329*ii, .0896004+.208209*ii, -1.17069+1.7464*ii, -2.43412+2.59491*ii, 1.14823+.684894*ii, -1.38874-.515296*ii, -1.77763-3.73987*ii, .873355-1.78635*ii, .285801-1.42188*ii, .0384548-.462923*ii, 3.86897-1.62869*ii, .202984+.677975*ii, -.087181+4.2528*ii
-.214116-.0948329*ii, .0867574+.189008*ii, .0140746-.00593937*ii, -.0128599-.00432185*ii, -.00558606+.00197844*ii, .10943-.0518416*ii, .0357595+.243873*ii, .716082+.207154*ii, .734613+.153289*ii, -.333261+.602165*ii, -.167648-.756615*ii, -.0446825+.0475292*ii, -.131522-.186416*ii, .128462-.0973289*ii, .278252+.248927*ii
.0778546+.350164*ii, 2.94787-.537818*ii, 1.26245+.237464*ii, 2.38624-10.4622*ii, -13.5752-2.24955*ii, .462405+6.92018*ii, -.231591-.204555*ii, 4.89711+6.19816*ii, 1.44661+4.62257*ii, 5.25313-7.05108*ii, .867557+.596052*ii, 1.41004-3.29181*ii, -1.07654+.868471*ii, 2.87801+1.2905*ii, -9.64624+1.5247*ii
3.31949+1.16511*ii, -2.05524-.124464*ii, .861441+.892007*ii, -.627753-.364243*ii, -1.2701+.285085*ii, 2.27775-5.14703*ii, -1.41585+3.16513*ii, -.202502-.129595*ii, 1.82356-3.47263*ii, -.373945+.171334*ii, .694634-.106807*ii, .315018+.158149*ii, -.621222+.022771*ii, -1.44093+.133057*ii, -.862517+2.12782*ii
5.69126+2.18783*ii, .0711026-.0084164*ii, -.36279+7.83606*ii, .0391154+.083398*ii, .45611-.0368376*ii, 4.98247-4.52089*ii, -1.71483+4.98572*ii, -1.25321+.187536*ii, 2.11118-9.16198*ii, -.113977-.0276764*ii, -7.48916-6.60886*ii, .405605+1.22094*ii, .247068-.859939*ii, -.588122-.406876*ii, -.750198+4.63678*ii
20.5998+.51835*ii, 2.59489-.838367*ii, -6.16674-13.5115*ii, -1.36234-1.41675*ii, -17.669+2.67441*ii, 14.4147-27.2361*ii, -2.75377+12.3292*ii, .835307-.29075*ii, -2.68237-.578741*ii, -.062088+.579688*ii, -1.8938+3.97765*ii, -.315665-.647962*ii, .113362-.049802*ii, -1.57948+11.9093*ii, -3.95318+6.32999*ii
.214979-.0252964*ii, -.560345+.008783*ii, 1.24297+.216755*ii, -3.14461-.884214*ii, -10.1225+6.10425*ii, -2.20081-2.99879*ii, .0840627+.0602369*ii, 4.76083-1.13305*ii, 5.88175-1.33959*ii, -1.97424-9.27605*ii, 1.12153+3.48725*ii, 5.58582+1.66554*ii, 2.78759+.310749*ii, -.659071-1.94422*ii, -8.57709+8.82201*ii
7.87437+11.8789*ii, 2.34951+.118189*ii, 2.17138-8.11905*ii, -.865634-1.08407*ii, -7.55817-7.01559*ii, 21.4292-2.6545*ii, -9.20521+2.25023*ii, .68929-.224501*ii, 3.49373+.103498*ii, -.143145+.423392*ii, -2.57888+.824992*ii, -.390653-.441751*ii, -.0760599-.242524*ii, -6.15662+1.63353*ii, -5.82884+.024583*ii
.0703356-.268794*ii, .148008-.364351*ii, .0249211-.366837*ii, .102248-.510282*ii, -.360458-.113692*ii, -.252196-.198817*ii, 1.23487+1.0636*ii, .791238+.62577*ii, -.006989+.993538*ii, .393032+1.04328*ii, .370837+.694896*ii, 1.3-.247458*ii, -3.42973-1.93756*ii, .308072-.0322647*ii, 1.17732-.273091*ii
-.888337-.519676*ii, -.871457-.539572*ii, .170656+.375191*ii, .160539+.377803*ii, .354445+1.05866*ii, -.335858-1.08175*ii, .742697-.955603*ii, .462184-.879556*ii, -.0393695+.305532*ii, -.724381+.372159*ii, -.717753+.391802*ii, -.327206-.230937*ii, .666126+1.44286*ii, .836897+.045841*ii, .978727+.065553*ii
5.08107+4.92621*ii, -6.83037+3.287*ii, 1.78034+.420959*ii, -1.08126+1.63414*ii, 1.93059+3.61766*ii, -1.42159-7.48225*ii, .060712+1.04743*ii, -7.76417-4.19248*ii, -4.45019-7.02414*ii, .109591-.0322698*ii, -.0635874-.0856342*ii, .222019-.132404*ii, 6.23273+.710243*ii, .715805+.375901*ii, 1.4943+3.54307*ii
.160605-.802532*ii, -1.13319-.476661*ii, -.341705+1.40296*ii, 1.96277+.922985*ii, .724733-.868055*ii, .632175-.866152*ii, -1.34003-.839076*ii, -.87974+1.16873*ii, .147949-.741348*ii, -.552168-.477104*ii, .23799-.423536*ii, -1.76278-.073010*ii, 2.85974+1.36814*ii, -.471572+.366507*ii, .175513+.162634*ii
-.605059-.741343*ii, -.589309-.774761*ii, -.301687+.0828584*ii, -.309596+.073729*ii, .438756+1.99461*ii, -1.03112-2.36404*ii, .868167-.518676*ii, .64013-1.51715*ii, .607299+.99949*ii, -.852319+1.35554*ii, -.791747+1.36047*ii, .132264-.298997*ii, -.026018+.869503*ii, 1.52062-.188322*ii, 1.23868-.061981*ii
.495833-.268052*ii, .427433+.696346*ii, .117477+.567923*ii, -.81267+.215225*ii, -1.13725-.866074*ii, .358393+.530749*ii, .170916-.419529*ii, .471873+1.43367*ii, .962543+.531767*ii, 1.14648-1.78956*ii, -1.18925-.857466*ii, -.295824+.985465*ii, .872975+.479765*ii, .088768-1.19464*ii, -1.9044+.267701*ii
.989291+.148096*ii, -.103207+.273811*ii, -.561251-1.80598*ii, .551004-.049417*ii, .0700041+.0114812*ii, .53594+.413984*ii, -.484198-.277566*ii, -.714282+.829148*ii, -.268896+1.04715*ii, -.161933+.602961*ii, 2.13156+.10775*ii, -.822181-1.70245*ii, -.143755+.111425*ii, -.249495+.572522*ii, .871331+.001371*ii
-5.07441-6.08474*ii, 6.61284+11.131*ii, 12.0536-6.65366*ii, -21.1704+7.61622*ii, 14.6626+2.99774*ii, -18.7858+16.7103*ii, 9.22847-3.31964*ii, 1.3478-1.40005*ii, 1.04651+1.21791*ii, 1.83164+1.06863*ii, -1.21029-.468181*ii, -.329423+1.70623*ii, -.0455926-.0270571*ii, -2.79217-16.5677*ii, 2.41601+1.05624*ii
-.324868-.460145*ii, -.443834-.879332*ii, -.142278+.197111*ii, -.296703+.304436*ii, .321702-.0699217*ii, .291851-.229432*ii, .930087-.04633*ii, .565874+.009404*ii, .771014+.291072*ii, .539199+.472636*ii, .344674+.22209*ii, -.14019-.408178*ii, -1.83961+.830222*ii, .0423124-.401654*ii, .654899-.476032*ii
-1.48656+.584669*ii, 1.05072+1.37496*ii, -27.7714+5.82092*ii, 14.3143+27.2022*ii, 10.1711+8.11724*ii, -19.8264-8.90604*ii, 4.82318-13.5308*ii, -15.8232-10.3261*ii, 8.14521+.55073*ii, -1.15205-.798443*ii, 1.00042-.820571*ii, 17.5127+2.97213*ii, 2.53816+.543373*ii, 2.17942+.51336*ii, .329265-.183061*ii
3.04269+2.39324*ii, 1.22285-.074646*ii, 2.93393-4.49894*ii, -.253312-1.68085*ii, -4.37278-1.82913*ii, 5.64434-1.36511*ii, -1.31688+2.20974*ii, 1.13563+.097305*ii, -1.94693-.652783*ii, -.005887+.738625*ii, -1.56586+1.73073*ii, -.122786-1.38203*ii, .335926-.472481*ii, -1.78562+2.23332*ii, -.606911+1.53472*ii
3.77256-2.26734*ii, -1.95604-2.80254*ii, -4.16973+6.16829*ii, 4.99901+2.90384*ii, 2.2328-1.69005*ii, 2.02148-6.76543*ii, -3.19039+1.54509*ii, -3.09447+2.81963*ii, 2.63354-3.42762*ii, -.362706-.0357703*ii, .0777881-.462893*ii, -1.53389+.713157*ii, 1.05754+.256335*ii, -1.44943+.687433*ii, .467709+.329174*ii
-1.34264-1.82665*ii, -.475723-1.74751*ii, .086070+.878352*ii, -.188324+.679454*ii, -.0241061+.205617*ii, .119982-.266117*ii, 1.76215+.015759*ii, 1.88743-.079187*ii, .726366-.460791*ii, .0335736-.116522*ii, -.0132691-.151207*ii, -.334674-.198876*ii, -2.00916+1.86219*ii, -.257924+.0951206*ii, .950477+.095387*ii
-.708903-1.2327*ii, -.194208-.856752*ii, .112801+.283455*ii, .0150153+.187871*ii, -.00988111+.0123067*ii, .0254405+.0394224*ii, 1.10005+.089755*ii, 1.11815+.564176*ii, .0896232+.445429*ii, -.0088103+.0753969*ii, .0223196+.120831*ii, -.212344-.0306082*ii, -1.34983+.112488*ii, .0991872-.0425886*ii, .977568-.012856*ii
-.224206-.321343*ii, -.800979-.365352*ii, .912898+.455329*ii, 2.28632-.162594*ii, -2.84467-8.56129*ii, 2.48996+7.21616*ii, -.304611-.73209*ii, -1.27779+7.59075*ii, -1.215+.719748*ii, 6.54709-5.72768*ii, 3.80552-.712478*ii, -2.28617+1.24579*ii, -.560565-.537372*ii, -3.30845-.819677*ii, -4.26209-2.4334*ii
.879542+.516783*ii, -.58605-.771795*ii, .586147+.411993*ii, -.366136-.573732*ii, -.397578+.785433*ii, 1.05011-.211669*ii, .903718+2.67599*ii, .0515708+.092476*ii, -1.04385-2.37834*ii, .0273093+.46564*ii, -.213001-.442402*ii, .699992+.057132*ii, -1.78405-3.4547*ii, -.216615+.423663*ii, 1.85485+2.34247*ii
-.0111916-.00743817*ii, 2.93742+1.17948*ii, -.0137662+.00680373*ii, 2.8491-2.22852*ii, .011202-.0201359*ii, .289428+.203446*ii, -5.21308+.508681*ii, 2.24624+1.91142*ii, 3.84298+2.72606*ii, -4.64845+3.1213*ii, .022016-.00896149*ii, .572929-.988715*ii, 2.01232-3.53792*ii, .0752403-.0003563*ii, -.230672+.857062*ii
.194168-.0249681*ii, .456321-.566994*ii, .148028+.0107395*ii, .424567-.352427*ii, .0036515+.296948*ii, -.113762+.108681*ii, .10511+2.04003*ii, .23735+.251454*ii, -.250227-1.05897*ii, -.303951+1.40099*ii, -.320003+.215146*ii, .742976+.15085*ii, -.68914-3.70694*ii, -.0240375+.279615*ii, 1.52492+1.57685*ii
.168768+1.42433*ii, .000113156+.0036391*ii, 9.91213+3.70339*ii, .0242509+.011548*ii, -.00513946-.0261953*ii, -.220431+.304642*ii, 5.94029-4.1381*ii, .663163-4.85346*ii, -5.84658-6.15581*ii, -.0308222+.0019856*ii, -12.0286+1.83255*ii, 3.37727-6.55898*ii, -2.31214+13.4047*ii, -.00802996-.0435658*ii, 1.60953+.803312*ii
.644884-.273238*ii, .760085+.820208*ii, .080662-2.6133*ii, 3.96807-1.29627*ii, -.952761-.186558*ii, -3.09939-1.9293*ii, -1.00281+.682131*ii, -.208764-.213267*ii, -.685424+.935366*ii, -1.50079+4.11209*ii, 2.10302+1.75898*ii, 1.5617-3.39066*ii, .0988265+.0300305*ii, .155743+3.06189*ii, 1.27861-.253014*ii
1.38962+1.53023*ii, .0779913-.0675976*ii, 2.96952-3.60862*ii, -.176701-.152402*ii, .215776+.706954*ii, 1.19105+2.65151*ii, 1.1007-.732582*ii, -2.94253-.167357*ii, -6.40226+.201634*ii, .200543+.0704844*ii, -1.31828+4.04801*ii, -.326612-2.23718*ii, 1.84344-3.35556*ii, .170821+.404822*ii, 3.62896+1.83767*ii
-.476377-.327832*ii, -.234939-.557594*ii, .0406452+.0106267*ii, .0298275+.032289*ii, -.00388862+.0431328*ii, -.0618047+.1122*ii, .322211+.281379*ii, .494144+.198856*ii, .499006+.109681*ii, .111368+.402172*ii, .296835+.266377*ii, -.0683181+.0247078*ii, -.404609-.623958*ii, .0787918-.228096*ii, .517336+.281961*ii
1.15352+.416851*ii, .379591-.389278*ii, .716129-.187661*ii, .0554379-.32346*ii, -.681319+.235685*ii, 1.13388-.001719*ii, .198363+1.7414*ii, .0031174+.327026*ii, -.915298-1.5471*ii, -.154718+.409787*ii, -.986012+.064198*ii, .497113-.34233*ii, -.441778-2.45837*ii, -.34929+.408202*ii, 1.10808+2.01719*ii
-1.22339-1.67346*ii, -.43968-1.43433*ii, .178009+.739233*ii, -.053577+.547666*ii, .0107811+.0791149*ii, .0281569-.10426*ii, 1.58119-.019739*ii, 1.63314+.143174*ii, .420803-.241473*ii, .0116705-.0911295*ii, -.0260228-.124253*ii, -.338562-.141136*ii, -1.6859+1.41553*ii, -.166779+.091957*ii, .975752+.044402*ii
-.408586-.353715*ii, -.270359-.0869222*ii, .939876-.136497*ii, .426338-.259454*ii, .072791-.614744*ii, .116476-.627942*ii, -1.00867+.450229*ii, -.020453+.594503*ii, -.539011+.23865*ii, -.30488+.687235*ii, -1.04607+.976038*ii, -1.14957+1.32926*ii, 3.14987-2.03465*ii, .367655-.172954*ii, .410922+.354042*ii
2.57092-.913725*ii, .034656+.00701031*ii, 4.13775+4.98071*ii, .0127172+.0829424*ii, .412591-.144197*ii, -.366076-2.47149*ii, 1.26898+4.63834*ii, -1.00231+.518026*ii, -4.08095-7.86592*ii, -.0823023-.0648733*ii, -8.02224-1.01985*ii, .817625+2.22791*ii, 2.9408-4.46427*ii, -.270869-.0915825*ii, 1.99913+5.10349*ii
-.639084-1.3079*ii, -.174484-.837956*ii, .0941863+.301165*ii, .0099925+.185271*ii, -.0105514+.0141424*ii, -.0287176-.0418925*ii, 1.10887+.130929*ii, 1.11705+.621254*ii, .0983173+.462002*ii, -.0022935+.0773679*ii, .028674+.128477*ii, -.21429-.0326958*ii, -1.38542+.111146*ii, .102655-.0464449*ii, .972631-.016032*ii
.673655-.054755*ii, -.108836-.0425056*ii, -2.03793-1.21911*ii, .224385+.343785*ii, .435655+.523359*ii, 1.17864+.582663*ii, -2.3788-1.55516*ii, -.481487+.530848*ii, 2.77776+.999659*ii, -.603529-.045848*ii, 3.25453-1.29089*ii, -2.85921-2.04209*ii, 2.57007+3.15463*ii, -.40908+.0021602*ii, -.920294+.098413*ii
-.15946-.365654*ii, -.639021-.37589*ii, .636179+.370081*ii, 1.36087-.13788*ii, -8.22176-8.18053*ii, 3.63321+12.1909*ii, .124498-.515291*ii, .44315+10.1172*ii, .119174-1.9569*ii, 7.5232-13.3506*ii, 7.49563-3.43578*ii, -1.48788+1.09098*ii, -.259773-.169836*ii, -6.08134-.622001*ii, -8.84545+2.61444*ii
.888876-1.30546*ii, .216289-1.06152*ii, -2.21274-.570152*ii, -1.55101+.225851*ii, .399469+2.79649*ii, -2.02213-1.02915*ii, 1.29345-.125235*ii, -.620836-.822124*ii, 1.43811+1.03199*ii, 1.0668+.501942*ii, 1.15163+1.27594*ii, -.490127-1.36126*ii, -.650475+.490628*ii, 1.60352-.9465*ii, .532628+.674103*ii
-.392734-.63821*ii, -.174491+.190394*ii, 1.64378+.591857*ii, .041090-.600701*ii, -.466397-1.17497*ii, -.511277-1.28169*ii, -1.46502+.527893*ii, .461452+.278675*ii, .636544-.890384*ii, .297922+.605218*ii, -1.92569+.350661*ii, -1.82227+1.45424*ii, 4.9352+.343488*ii, .269252-.427826*ii, -1.37794+.370424*ii
.755518+.278564*ii, -.078544+.588283*ii, .121471+.521994*ii, -.355839+.171517*ii, -.486372+.16071*ii, .470286-.153278*ii, .360182-.0139685*ii, -.118254+.752417*ii, -.108547+.138373*ii, .166458-.928414*ii, -1.17973-.495891*ii, .365794+.556038*ii, .168021-.871931*ii, .384385-.655064*ii, -.197361+.784698*ii
-41.7175+15.7727*ii, 2.77835-22.7085*ii, .161569-1.19471*ii, .504162+.35813*ii, .0446935-.0461871*ii, 17.61+46.0736*ii, .79525-16.2557*ii, 16.3537-19.9936*ii, 13.3165-.33484*ii, -.0017873+.0830046*ii, .144907-.0720985*ii, -.0128619+.0237751*ii, -.00465275+.000570217*ii, -1.23464-3.49093*ii, 1.0407+.135356*ii
.115986+.0700231*ii, .395631-.601679*ii, .0562387+.0476514*ii, .264587-.288936*ii, -.066225+.0574464*ii, .107986+.108822*ii, .064376+1.75085*ii, .365354+.146734*ii, .243703-.97596*ii, -.023171+1.29453*ii, -.243549+.0050214*ii, .537132+.08656*ii, -.74848-2.74899*ii, -.0933345+.148525*ii, 1.05564+1.20433*ii
.125942-.0965158*ii, .348796-.405446*ii, .191064-.0521709*ii, .594283-.304151*ii, .390702+.280164*ii, -.312493-.267067*ii, .271039+2.25841*ii, .226163+.392692*ii, -.626368-.574838*ii, -.629155+1.86736*ii, -.29627+.503964*ii, 1.15576+.471475*ii, -1.41048-4.71138*ii, .100993+.295902*ii, 2.21508+1.24314*ii
-.726462+1.53711*ii, -1.27122-.73596*ii, 1.09144+.332439*ii, -.364675+.915822*ii, 1.97999+1.65883*ii, -.790357+2.5717*ii, .186513+.730805*ii, -2.18228-1.70112*ii, -1.29501-4.13632*ii, -.167103+.456227*ii, .542308+.14881*ii, -.097526-.663966*ii, 2.38907-2.93648*ii, -.579875-.588287*ii, 2.27487+3.39863*ii
-4.32315-3.50103*ii, 5.76664+5.46994*ii, 7.92141-7.16144*ii, -12.0835+9.31552*ii, 9.1959-2.2743*ii, -8.04668+13.3586*ii, 6.20182-2.24699*ii, 1.13401-.907427*ii, -.854006-1.23784*ii, 1.84536+.548115*ii, -1.31762-.281435*ii, -.296413+1.89658*ii, -.0473549-.0676799*ii, -6.0588-8.83024*ii, 2.3706+.672817*ii
