variable ordering: c, dt, v, F0, F, dt0, L0, L, m0, u0, m, u
.151105+.176636*ii, 2.2695-8.61252*ii, -.151101-.176631*ii, -2.11919-8.04281*ii, .0286098+.108571*ii, -1.20254+2.7496*ii, -.333693+.101534*ii, .0000496074-.0000239719*ii, .00500819-.0453624*ii, 1.40375-6.77413*ii, -7.15789-.789575*ii, -.818897+2.18247*ii
-1.4345+.477935*ii, 1.22649+.860701*ii, 1.51672-.392511*ii, 1.55298+.616788*ii, .5463-.383371*ii, -.556184+.221037*ii, .346103-.291449*ii, .0215622+.179464*ii, -.029585+.0276237*ii, 1.70355+1.02295*ii, .098407+.0240273*ii, -.714899+.344813*ii
.526754+2.20272*ii, -.982365-5.7529*ii, .52674+2.20267*ii, -2.13665+12.5127*ii, -.0288414+.1689*ii, -13.6385-7.87191*ii, 5.07774-17.0942*ii, .000323317-.000138166*ii, .0749759-.0310703*ii, -4.36784+.891567*ii, 4.90113+11.8271*ii, -5.6741+10.606*ii
.199332-.116511*ii, 2.16002-8.38976*ii, .199327-.116508*ii, -2.13175-8.28075*ii, .0287797+.111783*ii, -1.16602+2.60567*ii, .0355828+.327624*ii, -.0000145639-.0000512009*ii, .00541365-.0460005*ii, 1.77243-6.84654*ii, -7.25868-.853457*ii, -.954697+2.12584*ii
-70.6154+118.571*ii, -.479147+.843529*ii, 70.6136-118.568*ii, -37.7174-66.4008*ii, -.509123-.896301*ii, 2.94081+3.0128*ii, -282.449+67.9723*ii, -.00176048-.00309572*ii, -.302209+.384957*ii, -13.5366+60.4205*ii, -60.7249-47.672*ii, 235.651+129.139*ii
-.686627+1.36858*ii, .644174+3.39063*ii, .697548-1.67841*ii, .397382+.178419*ii, .0540809-.284656*ii, 2.09444-.940276*ii, -.075629+1.75602*ii, 1.14803-.222128*ii, .473188+.209281*ii, 1.15413+1.57876*ii, .470909-.61873*ii, .843351-.990512*ii
-4.0635-.326968*ii, -2.97748+8.78559*ii, 4.06339+.326959*ii, 2.56448+7.56677*ii, -.0346009-.102096*ii, 1.18743+.41553*ii, -2.34463-1.03838*ii, .000397157-.000921065*ii, .00729889-.041247*ii, -1.19148+7.62658*ii, 6.49411+1.14942*ii, 1.03265+.171781*ii
1.03118+.712068*ii, .322623-.762104*ii, .050377+1.23801*ii, -.078948-.957901*ii, .471059+1.11274*ii, -.085442+1.03687*ii, -.413213+.504176*ii, .295038-.76451*ii, 1.15094+.369945*ii, .260474+.173247*ii, -.777352-.565903*ii, -.379157-.104401*ii
-1.09849-1.94002*ii, -8.26892-2.80107*ii, 1.09846+1.93997*ii, -8.03845+2.72131*ii, -.108486+.0367493*ii, .292109+1.60384*ii, 1.3953-1.16425*ii, .0000976486+.000508032*ii, -.0502158-.00983414*ii, -6.3908-1.3914*ii, -1.5437+7.91837*ii, .352036+1.16946*ii
.0822124+.129553*ii, 2.21485-8.55735*ii, -.0822103-.129549*ii, -2.09972-8.11326*ii, .0283469+.109522*ii, -1.25951+2.76488*ii, -.230872+.0320673*ii, .0000343463-.0000110912*ii, -.00495597+.0452984*ii, 1.4555-6.82769*ii, -7.14769-.78127*ii, -.899422+2.22459*ii
-3.41304-.967501*ii, 2.5029+1.78901*ii, -3.28681-.4098*ii, -.254179+.524649*ii, .264436-.189012*ii, .747663+1.54365*ii, -.529163-2.99595*ii, .540719-1.60743*ii, -.372937+.590383*ii, -3.18918-1.04426*ii, .080131-1.24993*ii, -1.28234-1.36226*ii
-.387416+1.15727*ii, -2.87043-1.82812*ii, -.385739+1.15571*ii, -3.26586+3.41862*ii, -.247848+.15785*ii, .144147+.15227*ii, -.116031+.0539126*ii, .00765571-.00141208*ii, .0855865-.258857*ii, -3.36318+1.39796*ii, -.288353+4.49215*ii, .221942-.0331442*ii
-.352868+2.4719*ii, 4.22706+2.51323*ii, .352858-2.47183*ii, -12.9486+7.69871*ii, .174785-.10392*ii, -.28052-18.8665*ii, 23.3676+2.98198*ii, -.00020493+.000254354*ii, .0827138+.0422857*ii, 2.44746-1.47396*ii, -6.67033+13.0477*ii, -9.73604-5.03724*ii
.0179007+.221097*ii, -.261039-.330128*ii, -1.47059+.140242*ii, .222681-.273669*ii, -1.47375+1.86381*ii, -1.78883-2.19842*ii, .227022-.217429*ii, 1.50823-1.48546*ii, -1.52632+.895942*ii, -.0215845+.0427525*ii, .228443-.129837*ii, -.14132+.289915*ii
.336441+3.49559*ii, -2.50814+5.6817*ii, -.336432-3.4955*ii, -4.81719-10.9124*ii, -.0650241-.147299*ii, 18.1198+5.274*ii, -6.16975+32.5569*ii, -.000550751-.000182367*ii, -.0407888+.0686523*ii, 5.03573+4.80519*ii, -10.8295-6.43421*ii, 12.4519-17.0961*ii
.278647+.023604*ii, .216548-.949336*ii, .528663-.582588*ii, .26117+.244703*ii, .228395+1.00127*ii, 2.03893-1.91036*ii, .306617-.242095*ii, 1.11788-.083624*ii, -.755121-1.4383*ii, -.175054+.568081*ii, -.498446-.268213*ii, -1.32825+1.07017*ii
-2.05017+2.42057*ii, 6.5497-.295726*ii, -2.05012+2.42051*ii, 11.2881+.50968*ii, .152368+.0068796*ii, .500089+5.03037*ii, -6.60083-4.55132*ii, -.000338115+.000437815*ii, -.0455021-.0283829*ii, 1.11532+4.02105*ii, 4.47695-7.17734*ii, -3.04946+1.02593*ii
-3.33767+2.06421*ii, 3.31383-1.40167*ii, -3.36616+2.47656*ii, .465269-.37294*ii, .255971+.108269*ii, 1.3085+1.04915*ii, -3.26651-.400349*ii, -.558579-1.42891*ii, -.234188+1.23721*ii, -2.87589+1.81858*ii, -2.09701-1.70132*ii, -1.38259-.77722*ii
.250691+.0221262*ii, .509911-.553337*ii, .280571+.430362*ii, .116569+.614817*ii, .900599+.977297*ii, -.297665+1.57003*ii, -.0546803+.193503*ii, -.118758-.410183*ii, .617754-.393853*ii, .0198359+.303369*ii, -.344898+.0035713*ii, -.376453-.524533*ii
.134184-.465435*ii, -1.05926-1.99248*ii, -.141113+.598937*ii, .45677+.323936*ii, -.208024+.391295*ii, -1.45673+1.03307*ii, .142677+.408318*ii, .306082-.153315*ii, -.931309-.132594*ii, .329624-.102308*ii, -.316514+1.14536*ii, -.113661-.248373*ii
-1.18026+2.21968*ii, 1.65562+8.10703*ii, 1.18023-2.21962*ii, -1.79149+8.7722*ii, .0241819-.118411*ii, .140901-7.44053*ii, 8.17466+4.54726*ii, -.000530689-.000156763*ii, -.0317712+.0133195*ii, 2.80246+5.66792*ii, 2.10127+5.01192*ii, -1.34517-5.52537*ii
-1.74772+2.61271*ii, 1.45013-2.05106*ii, -1.83903+2.99815*ii, -.701623+.318773*ii, .229825+.325064*ii, 1.18151+.536876*ii, -1.73382+1.07431*ii, -.713445-.775791*ii, .390396+1.09256*ii, -2.06401+2.2475*ii, -2.21802+.345146*ii, -1.34075-.829336*ii
.076415-.631003*ii, -.822687-3.08091*ii, -.041076+.682549*ii, -.558015-.413352*ii, -.080903+.302976*ii, -1.15737+.857102*ii, .226197+.397901*ii, .129611-.161079*ii, -.823747-.438067*ii, -.005748-.842047*ii, -1.5716+1.33937*ii, -.352704+.142233*ii
.400259-.709126*ii, .530772+.298616*ii, .840871-.113111*ii, -1.25373+.219319*ii, 1.43108-.805132*ii, .773909+.135371*ii, .202879-.247308*ii, .140606-.387954*ii, 1.30346-1.08929*ii, -.15233+.0547867*ii, -1.23365+.459844*ii, -.161788+.132055*ii
-.15609+.708676*ii, -2.20236+.90362*ii, .345881+.803509*ii, .337861-.0720638*ii, -.388635-.159456*ii, -2.83091-.603888*ii, .434918-.955969*ii, 1.0925-.661247*ii, -.135108+2.23656*ii, .828962+.559953*ii, .946034+1.58098*ii, .448011+1.13088*ii
-.579298+1.54224*ii, -2.7448-1.90883*ii, -.576281+1.53978*ii, -2.79333+3.27163*ii, -.245563+.170773*ii, -.149233-.176153*ii, .17906-.0640539*ii, .0129653-.0010073*ii, -.0983962+.28751*ii, -3.06643+1.61283*ii, -.274284+4.45112*ii, -.23328+.053126*ii
-1.14984+2.6148*ii, -4.99875-.356364*ii, 1.14981-2.61473*ii, -14.7454+1.05125*ii, -.199039+.0141896*ii, 5.13962-6.70098*ii, 5.80597+10.5721*ii, .000177684-.00033678*ii, -.0603898-.0550116*ii, -3.0097-.228353*ii, -8.67788+9.52605*ii, 3.11392-4.0218*ii
.202195-2.04495*ii, .0111459+.271039*ii, -1.0017-.38123*ii, .047546+3.30677*ii, .151467-3.68327*ii, .0043480-.302332*ii, -.308687-.0350108*ii, .34136+.0580421*ii, -.355529-2.54194*ii, -.554989+1.46391*ii, .444897+2.25905*ii, .708136-1.5949*ii
-1.40962-1.13085*ii, -.0980564-.31985*ii, 2.2387+1.59229*ii, 2.39494+1.00988*ii, -.876135+2.85787*ii, .354516-.149487*ii, -.334391-.0950922*ii, .0698101-.393687*ii, -1.5982-.955899*ii, .615638+2.06863*ii, .967556-1.29794*ii, -2.295+.945593*ii
-2.09538+.699002*ii, 3.27553+1.36177*ii, 1.87937-.731382*ii, -.528366+.375227*ii, .260303-.108219*ii, -1.25779-.8934*ii, 1.63002+.496407*ii, -.643186-.3677*ii, .716259+.014968*ii, 2.16819+.309455*ii, -1.61374+.331952*ii, -.889661-.340334*ii
-5.52606-1.9305*ii, .840728+5.32651*ii, -5.52591-1.93045*ii, -2.14201+13.5702*ii, .0289123-.183177*ii, -1.37961+4.45729*ii, 8.11429-10.9839*ii, .000149905-.00082619*ii, .0462256-.0514608*ii, -8.91217-2.0723*ii, 8.11819+7.29177*ii, -6.13029-5.01004*ii
-3.92525-1.29677*ii, .681265+1.34996*ii, 3.53083+2.03254*ii, .94043-.460247*ii, .297948-.5904*ii, -.857872-.419746*ii, 1.41153+1.38003*ii, -1.23694-.15618*ii, -.882484+.815684*ii, 2.70501+1.90497*ii, -1.89337+.185218*ii, -2.08836+.07276*ii
-.606545+.949218*ii, -.639133+2.88325*ii, .487053-1.35849*ii, -.352185-.097956*ii, -.0732814-.330586*ii, 2.63557-.732947*ii, -.451433+1.47315*ii, 1.40103-.272325*ii, .311043+.200352*ii, .084754+1.24959*ii, .348662-.19468*ii, .984723-.613414*ii
4.15624-8.04729*ii, -4.05085+3.8902*ii, 4.15613-8.04707*ii, -9.51396-9.13656*ii, -.128423-.12333*ii, -2.39492+4.79273*ii, 14.3073+19.5962*ii, .000384858+.00129729*ii, -.0225374-.0564818*ii, 12.1616-11.8545*ii, -8.91009+3.55505*ii, 7.13405-14.5464*ii
.326574-.678629*ii, .186739+.588207*ii, -1.4621-.171915*ii, .407059-.631579*ii, .490311-1.54442*ii, .720968+1.11862*ii, .497289-.0619785*ii, .999879-.409955*ii, .348728+.0634092*ii, .084992-.685773*ii, -.148335-.0707369*ii, -.210588-1.4752*ii
-.415729-.562876*ii, .127662+.463483*ii, -.325512-.405565*ii, -.674219+3.02029*ii, .552374-2.00543*ii, -.0703921-.315347*ii, -.0741185+.0853605*ii, .0525678-.0548463*ii, .055401-1.46375*ii, -.712633+1.5341*ii, .024713+2.17926*ii, .529043-1.00629*ii
-13.4673-7.95053*ii, .135909-.207279*ii, 8.81999-5.24841*ii, -2.35646-2.66788*ii, 2.2122+3.37391*ii, -.185974+.210547*ii, 2.08926-.678455*ii, -2.45327+.423225*ii, -7.50177-1.99291*ii, .977271-4.01464*ii, -6.80131-.795936*ii, -1.74539+4.34553*ii
-2.1369-2.99988*ii, .0839125-.0560513*ii, 3.12029-7.02595*ii, 2.28818+3.83843*ii, 8.2404+5.50437*ii, .114581-.192212*ii, -.410731+.0335046*ii, -.790414+.458596*ii, -4.42708-3.50617*ii, .379455+1.30915*ii, -1.12269-2.28538*ii, 2.00764+2.25949*ii
-.339668+2.43383*ii, 4.01333+2.38656*ii, .339659-2.43377*ii, -13.637+8.10934*ii, .184077-.109463*ii, -.20823-19.801*ii, 24.1315+3.10948*ii, -.000190769+.000238264*ii, -.0871039-.0443668*ii, 2.25388-1.40163*ii, -6.99861+13.7402*ii, -10.0484-5.07209*ii
.609302-1.00197*ii, -.0915229+.37124*ii, -3.44811+.97332*ii, .430299-.740975*ii, -.626032-2.53934*ii, -.586071-1.0092*ii, -.684142-.013843*ii, 1.53157-1.42*ii, -.518066+.558476*ii, -.460457+.224783*ii, -.249154+.0137347*ii, .534531-1.46976*ii
2.1968-.846083*ii, .12089+.602383*ii, -4.60994-.772691*ii, -.772085+.382181*ii, .320257-1.5958*ii, -1.04029-.514927*ii, -1.36048-.125511*ii, 1.75882-1.88923*ii, .192907-.200087*ii, -1.61922-.375993*ii, .146206+.0160688*ii, 2.43219-1.9868*ii
-.168283-1.91026*ii, .152104+.0490032*ii, -.461336-4.13574*ii, .904612+3.12015*ii, 5.95623-1.91891*ii, .085715-.295644*ii, -.289591-.0569933*ii, -.093294+.560818*ii, -1.61247-2.44642*ii, .030720+1.16633*ii, -1.29391+.799156*ii, 2.24391-.125368*ii
.266483+.0295692*ii, -.483019-.617506*ii, .917119-.505763*ii, -.0851144-.318683*ii, -.785881+1.00469*ii, .782273-2.92893*ii, .147534-.378689*ii, 1.51273-.425997*ii, -.975611-.845248*ii, .274378+.435003*ii, -.326361+.0698583*ii, -.704446+1.85985*ii
-1.69138-1.0838*ii, 1.99788+.734424*ii, -1.76989-.547898*ii, -.427318+.497043*ii, .440946-.162093*ii, .994437+1.15684*ii, -.214093-1.51722*ii, .395421-1.02439*ii, .003658-.633092*ii, -1.86759-.789188*ii, -.42566-.773965*ii, -.893767-1.14567*ii
.133438-.211813*ii, .069988-.683064*ii, .255426+.564458*ii, .327823+.463411*ii, .148445+1.44878*ii, -1.01738+1.43816*ii, .0844317+.203699*ii, .06809-.561603*ii, .0712837-.123632*ii, .214842+.0891836*ii, -.00052442+.0556127*ii, -.367671-.470092*ii
-.894284+3.00972*ii, -12.2221-3.07638*ii, -.894261+3.00964*ii, -5.70026+1.43473*ii, -.0769443+.0193674*ii, 7.20778+7.47977*ii, -14.4789+7.50218*ii, .000536991-.000905382*ii, -.0224156-.00725751*ii, -10.3066+6.58146*ii, -1.1447+3.53608*ii, 10.0781-.11052*ii
-.678676+.932746*ii, .431542+.818897*ii, .855803-1.42982*ii, -.810673-.622527*ii, .503655-.955739*ii, -.77598+.595872*ii, -.014579-.564098*ii, .585067-.11597*ii, .996674+.536658*ii, .759206-.781019*ii, -.659655+.843375*ii, .949275+.651357*ii
-.249933-.553757*ii, -.316594-.317369*ii, .755782+1.61727*ii, -.563018-.578662*ii, -1.57545+1.57931*ii, -.863725+.887725*ii, .353729+.128211*ii, .339617-.982516*ii, .29052+.272762*ii, .0785296-.359017*ii, -.10026+.103643*ii, -.995077-.202146*ii
.285225+2.11315*ii, -.537569+.278359*ii, .21092+2.25988*ii, -.682267+4.08473*ii, -1.46691-.75958*ii, -.0398213-.238206*ii, .246003-.0760453*ii, -.0012487+.102745*ii, 1.46644-.237607*ii, -1.10703+3.08919*ii, 1.69382+3.3138*ii, -1.03725-.798802*ii
.027008+3.32889*ii, -12.319-3.53414*ii, .027007+3.3288*ii, 5.55644-1.59404*ii, -.0750025+.0215171*ii, 3.59789+17.6681*ii, -29.3589+6.22708*ii, .000304069-.00109337*ii, -.0311561-.0276575*ii, -7.82622+9.83352*ii, 4.36272-4.91473*ii, 17.3568+3.37308*ii
-.0857739+.0883192*ii, -.0879224-.359918*ii, -1.14024+.056867*ii, -.253198+.143763*ii, -.640501+2.62195*ii, -2.98658-1.69575*ii, .202969-.0591606*ii, .891675-1.74512*ii, -1.3321+1.04565*ii, .00790205+.0489008*ii, -.180626-.0271699*ii, .380062+.257668*ii
.713256+.531727*ii, .986282+.410797*ii, -.318862-1.21103*ii, -.639571-.163482*ii, .864018-.359873*ii, 1.46761-.375168*ii, .623136+.256389*ii, .924535-.240624*ii, .84873-.6716*ii, .152303-.33035*ii, -.763009+.018658*ii, -.108995-.504105*ii
.119561-.181771*ii, .075885-.599386*ii, .293776+.572197*ii, .304032+.44976*ii, .207892+1.64205*ii, -1.03158+1.52603*ii, .0770249+.184983*ii, .045133-.609234*ii, .125563-.0555557*ii, .176488+.0805983*ii, .0285135-.0348496*ii, -.369138-.462214*ii
-1.17661+2.65356*ii, -5.01938-.373552*ii, 1.17658-2.65349*ii, -14.6781+1.09242*ii, -.19813+.0147452*ii, 4.77102-6.40048*ii, 5.6852+10.0955*ii, .00018347-.000342598*ii, .0607324+.0536163*ii, -3.08464-.409957*ii, -8.45779+9.58008*ii, 3.17346-3.77989*ii
-2.11394+.023908*ii, .859535+.709602*ii, 1.62234+.078745*ii, -1.13792+.788358*ii, .69187-.571184*ii, .593731+.411328*ii, -.632474-.427664*ii, -.431681-.241616*ii, .716046-.52059*ii, -.542496+.908066*ii, -1.16867+.707452*ii, -.300776+.615954*ii
-.410111-.411905*ii, -.573697+.223286*ii, .836438-1.38531*ii, -.45951-.306587*ii, -1.51377-.589168*ii, 1.50584-1.00471*ii, -.515702-.10411*ii, 1.54676-.027860*ii, -.565481-1.29962*ii, -.0506923-.290535*ii, .0925227+.472944*ii, .329673+.80213*ii
1.86325+.084376*ii, -.605972-.288511*ii, 3.09637+.01356*ii, .416745+1.04253*ii, -1.34529+.640508*ii, .330612-.827051*ii, .342899-.756555*ii, 1.03112+.389861*ii, 1.03029-1.98246*ii, 1.34005+.717763*ii, 1.44075+.870191*ii, -.836735+1.83572*ii
-.156139+1.288*ii, -6.28184-1.61081*ii, .035039+1.36863*ii, -.112983+.244492*ii, -.149368+.0383014*ii, 1.55712+3.37057*ii, -2.29221+.739651*ii, 1.15723+.75*ii, -.709825+1.47499*ii, -2.39521+1.19834*ii, 1.21418+2.58778*ii, 1.39814+.62961*ii
4.55319+3.25975*ii, -7.28073+.270583*ii, 4.55307+3.25966*ii, 10.1612+.37757*ii, -.137159-.0050974*ii, -3.79006+6.37986*ii, -19.0268+8.34705*ii, -.000905233-.000598573*ii, -.0287128-.0342923*ii, 4.56818+12.6946*ii, 5.40951-4.52908*ii, 13.3865+3.10286*ii
-.748763-2.28115*ii, -.583785+2.16527*ii, -.282758-1.76241*ii, -.056224-.624983*ii, -.116079-.43054*ii, -.142731+1.58706*ii, 1.8636-.43137*ii, 1.25114-.530687*ii, -.44599+.0737897*ii, .519564-2.20014*ii, .636147+.006197*ii, .093505-1.60358*ii
-1.37065+1.29202*ii, -7.2715-3.7464*ii, -1.37061+1.29199*ii, -8.05076+4.14722*ii, -.108675+.0559914*ii, 1.54104+1.7941*ii, -2.21512-.234011*ii, .000394004-.000113544*ii, -.0494202-.00947145*ii, -8.59003+.61510*ii, -1.49223+7.7986*ii, 2.36836+.768849*ii
1.30709+.000202*ii, -1.68968+.784084*ii, 1.59579+.18983*ii, -.077748+.695731*ii, -.486966-.225972*ii, .158702+1.41965*ii, .103575+.927821*ii, .699971+.150595*ii, 1.14905-.506032*ii, .853179+.612344*ii, 1.10111+1.21101*ii, .653051-.471299*ii
-1.53786+1.1012*ii, -.528315-.165723*ii, 1.38357-1.12565*ii, -3.51096+2.82786*ii, -1.72325+.540553*ii, .172697+.139142*ii, -.209403-.0119041*ii, .0762983+.0351084*ii, .535031-1.24568*ii, -2.02557+.222209*ii, -.10535+3.38364*ii, .787698+.213753*ii
.141348-.0561164*ii, 2.12218-8.4199*ii, .141345-.0561149*ii, -2.08483-8.27255*ii, .0281462+.111672*ii, -1.21675+2.67232*ii, -.0110124+.223004*ii, -.00000459704-.0000348404*ii, -.00529642+.0456926*ii, 1.70579-6.83674*ii, -7.20996-.834941*ii, -.982191+2.1709*ii
-.182513+1.17484*ii, -1.96041-1.79068*ii, -.179761+1.17009*ii, -2.35293+3.10809*ii, -.278082+.254006*ii, -.153949-.203972*ii, .133867-.0718193*ii, .013866-.00438423*ii, .0857993-.35181*ii, -2.42456+1.44051*ii, -.197855+3.78468*ii, -.254791+.0935883*ii
-.687691+1.47108*ii, -3.40145-1.93323*ii, -.685903+1.47*ii, -3.44748+3.53175*ii, -.222212+.126295*ii, .138766+.144309*ii, -.15386+.0524477*ii, .00817202-.00023467*ii, -.0880548+.228733*ii, -3.79032+1.61195*ii, -.309375+4.8948*ii, .209398-.0239661*ii
.865127+2.39629*ii, -5.8136-1.67299*ii, -.865104-2.39623*ii, 11.7685-3.38664*ii, -.158855+.0457141*ii, -3.67965+22.7561*ii, -28.8568+5.43471*ii, -.0000271467-.00040907*ii, -.0588619-.0439693*ii, -.833332+5.24893*ii, 6.93592-9.28516*ii, 20.2372+.76045*ii
-1.68916+3.63502*ii, 2.91146-5.1677*ii, 1.68912-3.63493*ii, -6.13066-10.8819*ii, .082755+.146886*ii, 5.12559-.81763*ii, -2.84292+10.0064*ii, .00036889+.000513681*ii, .0134709-.0762755*ii, 2.7906-3.89535*ii, -12.0321-2.1244*ii, 4.18798-.207945*ii
.146102+2.0571*ii, 1.30755-4.74219*ii, -.146098-2.05704*ii, 4.0031+14.5184*ii, .0540353+.195974*ii, -22.0756-1.1679*ii, -.41141-22.7911*ii, .000264571+.0000531179*ii, -.060123+.0678532*ii, -2.69894-.749261*ii, 10.7035+9.48409*ii, -.68704+12.5689*ii
-2.29731+.554734*ii, 3.65522+1.96016*ii, 2.12444-.588997*ii, .485445-.409107*ii, .212477-.113944*ii, -1.20408-1.01496*ii, 1.66459+.831863*ii, -.552853-.439557*ii, .52113+.354463*ii, 3.13143+.502161*ii, -1.5364-.629673*ii, -1.12389-.432231*ii
-1.97347+2.42355*ii, 6.54666-.257403*ii, -1.97342+2.42348*ii, 11.2989+.44426*ii, .152514+.0059966*ii, .35499+5.09746*ii, -6.52725-4.59968*ii, -.000327043+.000435521*ii, .0454404+.0286091*ii, 1.23339+3.93535*ii, 4.51265-7.1676*ii, -3.03878+1.05427*ii
.279095+.951928*ii, .166552-1.3383*ii, -.239161-.540341*ii, .17499+.893*ii, .091574+.735822*ii, -.211315+1.07833*ii, -.542734+.0499*ii, .443931-.0097563*ii, .004061-.552923*ii, -.267145+.130885*ii, .042296+.677263*ii, .224565-.0912254*ii
3.33862+.112754*ii, .663693+.570829*ii, -2.33186-2.46128*ii, .911918-.288841*ii, .866062-.744883*ii, .996575+.315634*ii, 1.6458+.583075*ii, 2.0808-.13155*ii, .699423-.843672*ii, 1.18598-1.52137*ii, .816012-.419629*ii, .588967-2.22697*ii
.888896-.596354*ii, -.19472+.41376*ii, -3.35196+.321696*ii, .397763-.59269*ii, -.931167-1.97864*ii, -.780688-1.16326*ii, -.693833-.284226*ii, 1.8395-1.37574*ii, -.53529+.522114*ii, -.454898-.0419387*ii, .235956+.0622664*ii, .82655-1.12938*ii
-.123703+1.14204*ii, -5.67656-1.89784*ii, .082494+1.22043*ii, .0987115-.246825*ii, -.158452+.0529752*ii, 1.39653+3.49293*ii, -2.08091+.581399*ii, 1.1242+.761679*ii, -.6791+1.35663*ii, -1.98689+.678715*ii, .948428+2.21923*ii, 1.13275+.676899*ii
.00176488-.00116289*ii, .558343+.404291*ii, .00062653-.00891925*ii, -.106328+.323131*ii, 1.17497-.850783*ii, .918821+2.79231*ii, .00243438+.00192981*ii, .00358838+.0127518*ii, 1.45392-.362598*ii, -.207358-.215063*ii, -.226385+.268668*ii, -.178995-1.26132*ii
.0888112-.0371596*ii, .033693+.924493*ii, .252799+.201581*ii, .15116-.275263*ii, .039369-1.08024*ii, 1.53274+2.79111*ii, .11992+.0954626*ii, .516369+.108205*ii, 1.49515-.208816*ii, .0653637-.395491*ii, .41528+.140855*ii, -.410348-1.31734*ii
3.70234+3.96474*ii, -.012841-.54257*ii, -2.98044+.163895*ii, .200496+1.74921*ii, -.043595+1.84205*ii, -.064679+.564243*ii, -1.23827+.91629*ii, 1.41516-.771724*ii, 1.79052+.682104*ii, -1.07022+1.53524*ii, 1.78415+.410537*ii, 1.33-1.43751*ii
-.001375+.550967*ii, -.457346-.639225*ii, .820985+.274127*ii, .266278-.644978*ii, -.740314+1.03472*ii, .546861+1.32462*ii, -.365288+.149741*ii, .710651-.114335*ii, .266402-.0351537*ii, .198405-.209484*ii, .137872-.0520079*ii, -.439153+.289635*ii
-1.16056+2.20544*ii, 1.60913+8.01147*ii, 1.16053-2.20538*ii, -1.78531+8.88847*ii, .0240985-.119981*ii, -.018432-7.27441*ii, 8.03232+4.20089*ii, -.000519708-.000152922*ii, .0321905-.0142596*ii, 2.62854+5.59828*ii, 2.24956+5.07807*ii, -1.32632-5.34358*ii
-.903357+3.00262*ii, -12.119-3.18634*ii, -.903333+3.00254*ii, -5.7177+1.50324*ii, -.0771797+.0202922*ii, 6.96593+7.45365*ii, -14.3366+7.09137*ii, .000545666-.00089146*ii, .0230581+.00687628*ii, -10.3529+6.40377*ii, -1.08455+3.63744*ii, 9.91061+.08088*ii
-2.09738-2.04437*ii, -.105866+.0161588*ii, 3.45807+9.05606*ii, -.910594-2.75811*ii, -9.23089-1.40896*ii, .107934-.326926*ii, -.447369+.232515*ii, -.014542-1.6208*ii, 1.66955+.191821*ii, .760011+1.34979*ii, .182132+.489885*ii, -4.97546+.211419*ii
.046518+3.30408*ii, -12.0893-3.57773*ii, .046516+3.30399*ii, 5.63455-1.66749*ii, -.0760569+.0225085*ii, 3.33333+17.6419*ii, -29.0677+5.91713*ii, .00029946-.00106694*ii, .0312085+.0277827*ii, -7.6576+9.58446*ii, 4.38248-4.92301*ii, 17.1234+3.46455*ii
-.48553+.76683*ii, -.452063+1.67529*ii, .397192-1.33602*ii, -.44906-.0813363*ii, -.15014-.556399*ii, 2.15614-.390491*ii, -.373714+.921492*ii, 1.25366-.072063*ii, .228299-.184559*ii, -.027360+.626452*ii, .0546058+.225922*ii, .72961-.307685*ii
1.34991-4.01239*ii, .0986258-.0031601*ii, 1.92119-11.6052*ii, -.833382+3.80186*ii, 10.1289+.32454*ii, .0550123+.250967*ii, .540619+.059026*ii, .106106+1.412*ii, -2.25595-5.84391*ii, .833539-2.12057*ii, -2.36454+.441653*ii, 5.82496+1.12486*ii
.361799+.399602*ii, .132893+.859475*ii, -.366239-1.25067*ii, .46603-.181853*ii, .175702-1.13633*ii, 1.8622+.726648*ii, .191686+.503519*ii, 1.22219+.19935*ii, .438761-.493476*ii, .413362-.149484*ii, .281434+.0574423*ii, .179333-.994272*ii
.548624-1.60855*ii, -.876937+2.19691*ii, .896956-1.22453*ii, .045408-.557602*ii, -.156724-.392626*ii, .145167+1.78147*ii, 1.47261+.371923*ii, 1.12146-.243472*ii, .648724-.256592*ii, 1.29714-1.3828*ii, .919872+.077961*ii, .412886-1.37183*ii
152.413+115.591*ii, 498.419+114.186*ii, 152.423+115.599*ii, 860.817-410.374*ii, .00190629-.000436726*ii, -1.09124+4.76324*ii, -358.454+299.92*ii, -4.04831-4.8384*ii, 11.3017+1.04328*ii, 710.46+326.996*ii, 69.95-757.751*ii, -3.125+6.78965*ii
-2.3895+.514689*ii, .460704+3.97673*ii, 2.38505-.522591*ii, 1.41367+2.52401*ii, .0287461-.248133*ii, .170094-.300283*ii, -.125944+.402536*ii, .0293177-.0213755*ii, .104356+.105711*ii, 1.2794+3.09352*ii, 1.70797+.261042*ii, .0681958-.280414*ii
-4.86064-16.4742*ii, -.384186-.812811*ii, 12.3527+14.3958*ii, -.275126-1.11914*ii, -.475324+1.00563*ii, .207176-.84259*ii, -7.44399+.341236*ii, -5.7819-4.27694*ii, -.690773-7.87064*ii, -.560114+7.73866*ii, -5.69937-5.87464*ii, -5.1311+5.45414*ii
7.87871+12.1729*ii, -.0001286-.0749114*ii, 9.0782+16.4917*ii, 15.6144-2.68342*ii, -.02291+13.3491*ii, .0622084+.0106897*ii, .179999+.420738*ii, -.375251+.088808*ii, 6.28221+7.95595*ii, 9.88714+12.98*ii, 8.02587-8.95821*ii, -12.2007+6.33738*ii
