variable ordering: c, dt, v, F0, F, dt0, L0, L, m0, u0, m, u
1.05551-.115365*ii, -.549736-.54818*ii, -.157141-1.89675*ii, .434076-.450554*ii, -.912105+.909523*ii, 1.10779+1.14983*ii, .649623+.541754*ii, -1.31284-1.14007*ii, -.634491-.474659*ii, .76031-.610924*ii, .313071+.224568*ii, -1.58853+1.22487*ii
2.48056-3.41053*ii, -6.48766-1.51837*ii, 2.19834-3.27552*ii, .361287-.192155*ii, -.146134+.0342012*ii, -2.17271-1.14553*ii, -4.73803+2.42642*ii, -1.97547+.478905*ii, -1.04302+1.38386*ii, -.263497+4.88153*ii, -1.78971+4.34687*ii, -.548418+1.71664*ii
-.621055-1.33749*ii, -.693518-1.60416*ii, .407236-2.07437*ii, .360845-.181929*ii, -.227063+.525214*ii, 2.20637+1.11375*ii, -.063871+1.81607*ii, -1.56778-2.03181*ii, -1.49462+1.51309*ii, 1.03193-.259275*ii, 1.49693-.144561*ii, -.88573+1.21641*ii
-1.50884-2.59848*ii, 1.01065-4.47602*ii, .988396+2.78746*ii, -.155083+.325973*ii, .047998+.212575*ii, 1.18271+2.50303*ii, -2.40421+3.3946*ii, -.079308-2.51403*ii, -2.2426+1.3664*ii, -.124017+.754904*ii, 4.32344+.504928*ii, -.221542-.404896*ii
.590528+.88321*ii, .658008-.763283*ii, .587808+.92808*ii, -1.71307+2.69795*ii, .647917+.751577*ii, .164543+.262503*ii, -.0687811+.141176*ii, .0320833+.0325254*ii, .0638699+.338585*ii, .058908+1.64063*ii, .991071-.523382*ii, -.487273-.131471*ii
.525203+.734248*ii, .716228+.766722*ii, -.217998+.754085*ii, .69459-.414081*ii, .650616-.696485*ii, 1.06121+.633189*ii, -.045164-.555795*ii, -.231929-.615649*ii, -.029409-1.46728*ii, .0247284+.273423*ii, .32205-1.2037*ii, .117429+.301273*ii
-.823103-.098013*ii, .021791-.885477*ii, -1.18529-1.05842*ii, .433266-.420721*ii, .027776+1.12865*ii, -1.18602-1.15233*ii, .429441+.531174*ii, -1.26966-.086725*ii, .826967+1.48193*ii, -.098835-.549465*ii, -.281986+.86416*ii, -.878385-.561056*ii
-9.56919+15.2424*ii, 18.5866-3.2669*ii, -9.51315+15.1531*ii, -30.7805-15.691*ii, .0521899+.00917323*ii, .828176-.145848*ii, 6.91935-16.9989*ii, -.813199+1.99808*ii, -.0879611-.138902*ii, -19.6156-6.23611*ii, -1.97295-3.11783*ii, -.874172-.277594*ii
1.09179-.455929*ii, .102497-.139416*ii, 1.54178-5.22157*ii, -1.19628-.339805*ii, 3.42314+4.65612*ii, .772499-.219466*ii, .370419-.295042*ii, -2.19355+.028169*ii, -3.56877+2.37572*ii, -.521397+.63632*ii, -.293594+.875878*ii, -3.72227+.84922*ii
-3.25003+9.31101*ii, -7.68133-21.6989*ii, -2.45455+9.14054*ii, .020187+.107818*ii, -.0144973+.0409532*ii, -1.63177+8.98651*ii, -40.2627-21.4516*ii, -10.2937-15.2842*ii, 4.8774-7.43325*ii, -25.122+4.91274*ii, -1.36235+22.3648*ii, 9.61959+3.25989*ii
.071764+.796721*ii, .767193+1.37537*ii, -.220865+.704818*ii, -.631998+.397333*ii, .309324-.554534*ii, 1.13258+.713871*ii, .246528-.475602*ii, -.0066195-.456513*ii, .031065-1.05899*ii, .37588+.719114*ii, .628848-1.07599*ii, .57333+.383531*ii
.047215-1.21401*ii, -.211362+.0376313*ii, -.394558+3.40502*ii, .155803-1.74745*ii, -4.58585-.816474*ii, -.050534-.566929*ii, .343964-.0171808*ii, .034168-.909911*ii, .287726-2.52122*ii, -.215266-.783807*ii, -.956811-.025204*ii, 2.11988-.387371*ii
-2.32906+1.40967*ii, 2.93639+6.2094*ii, 2.47603-1.16663*ii, -.2989+.106393*ii, .0622394-.131613*ii, 2.96049+1.06956*ii, 4.20897-.741356*ii, 1.17218-1.56677*ii, -1.33229-1.45791*ii, 3.50825-.396241*ii, .180838-4.30576*ii, 1.01226-1.26221*ii
.490248-.502058*ii, .0435653-.263786*ii, 1.74487-3.01507*ii, -.760039-.072514*ii, .609467+3.6903*ii, 1.3021-.124259*ii, -.286958+.356124*ii, -2.03933-.909032*ii, -3.05133+1.08577*ii, -.109428+.345783*ii, .054912+.659723*ii, -1.77236-.084563*ii
-.0826568+.129664*ii, .833369+.348879*ii, -.112292-.039821*ii, .842355-.270986*ii, 1.02101-.427433*ii, -1.07504-.345967*ii, -.0668758+.0553529*ii, .0776014-.0761381*ii, .452634+.0304115*ii, .384528+.599677*ii, -.35872-.0550244*ii, -.542658-.706035*ii
-3.64201+2.82242*ii, 10.0486+6.82646*ii, -3.48453+2.60854*ii, .232638-.111519*ii, .0680915-.0462576*ii, 3.5184+1.69886*ii, 9.18911-1.83319*ii, 2.99984-1.02358*ii, .560976-2.36555*ii, 4.09692-6.02406*ii, 2.80195-7.02053*ii, 1.01989-2.10947*ii
.146913-.475924*ii, 1.07771+.97026*ii, -.198274+.631964*ii, -.526029-.572154*ii, .512496-.461399*ii, .868598-.944712*ii, .159437+.273489*ii, -.241203+.137201*ii, -.959757+.044028*ii, .127945+.727257*ii, -.0611-1.08391*ii, .644758-.106485*ii
-1.6469-.044715*ii, 1.01322+.126478*ii, 1.09381+.9025*ii, -.910687-.222075*ii, .971812-.121309*ii, -1.03594+.251955*ii, .859292-.18179*ii, .774907-.494141*ii, .089806+.643779*ii, .079794+.891367*ii, .138385-.606965*ii, -.408164-.840564*ii
-1.39686-2.022*ii, .0996505+.207503*ii, -4.58493+.015786*ii, .077220+2.1756*ii, 1.88063-3.91606*ii, -.0161808+.458533*ii, -.473355+.303595*ii, 1.1153-.098991*ii, 2.71532+2.44181*ii, 1.70001+.831459*ii, 1.77541+.452251*ii, 2.23119+3.04139*ii
.875154+.615763*ii, .367419+.667637*ii, -.589607-.982481*ii, 1.28036-.55345*ii, .632679-1.14964*ii, -.657084-.284881*ii, -.197701-.327418*ii, -.334349-.131784*ii, .787286-.606721*ii, .622874+.41908*ii, -1.05762-.00214*ii, -.703984+.046786*ii
8.46636-19.2984*ii, -21.86+16.8041*ii, 8.41677-19.1853*ii, 33.7595+10.0186*ii, -.0287541-.0221038*ii, .973937-.748407*ii, 7.5218+30.4833*ii, .883976+3.58285*ii, -.31038+.212392*ii, 29.9476+6.25018*ii, 6.96656-4.76901*ii, -1.33404-.278667*ii
-.007585+1.33137*ii, -.145726+.0292597*ii, .350953+5.22618*ii, .478998-1.69224*ii, -6.59625-1.32443*ii, -.154653-.546345*ii, -.362967+.100534*ii, -.489483-1.34945*ii, 1.59273-4.52672*ii, -.553789-.749893*ii, -1.14901-.507645*ii, 2.69186-2.33156*ii
-2.2885-4.40889*ii, -.0167218-.473905*ii, -.918851+3.19107*ii, .507415-1.97172*ii, -.074364+2.1075*ii, .122169+.475493*ii, .910729-.812375*ii, .745139-1.02522*ii, -1.53474+.047819*ii, -1.52422-1.39151*ii, 1.45781+.272925*ii, 1.85034+1.06853*ii
3.53765+.619163*ii, .032913+.101939*ii, -4.37051-2.98475*ii, 6.731-2.38883*ii, 2.8683-8.88373*ii, -.131728-.0468336*ii, -.21729-.123731*ii, .30026-.125495*ii, 3.95835-1.21371*ii, 2.78535-.60023*ii, -2.583-1.8416*ii, -1.58949+3.36187*ii
10.0925-15.1507*ii, -24.0383+10.4394*ii, 10.0334-15.062*ii, 24.3229+15.157*ii, -.0349994-.0151996*ii, -1.07103+.465293*ii, -4.5625+25.3738*ii, -.536211+2.9824*ii, .286342+.103136*ii, 22.2684+13.7598*ii, 6.42604+2.31551*ii, .992303+.612975*ii
.0240076-.0214466*ii, 1.4113+.611914*ii, .0234387-.0303568*ii, -.070763+.824471*ii, .596439-.258604*ii, -.104733-1.20125*ii, -.01412-.0131015*ii, .00361784-.0145482*ii, -.199167+.578134*ii, .664454+.793391*ii, -.527684-.574502*ii, .299036-.754092*ii
.057053-1.28009*ii, .308155-.264331*ii, -.298787-2.75658*ii, -.992473+.785791*ii, 1.86953+1.60365*ii, .618426+.48954*ii, -.329311+.380316*ii, -.844887-.484699*ii, -1.63786+2.07696*ii, .537475+.754851*ii, .888359+1.03177*ii, -1.24+1.30507*ii
1.52235-1.89506*ii, -2.02717+.681903*ii, 1.37369-2.07976*ii, .874529-.565949*ii, -.443155-.149069*ii, -.806511-.516433*ii, -1.08532+.394344*ii, -.446321-.253328*ii, -.982331-.245858*ii, .877538+1.78941*ii, -1.80198+1.36645*ii, -.378573+.808131*ii
.08072+.652561*ii, .576648+1.9005*ii, -.061741-.643999*ii, -1.61975+1.32213*ii, .146193-.48182*ii, .367702+.309864*ii, -.0987777+.130477*ii, .00646976-.040934*ii, .0590829-.0531956*ii, 1.19037+1.66114*ii, .324323-.0513575*ii, .460757+.180333*ii
14.6866+5.00606*ii, .649164-.199652*ii, -24.7643+.64947*ii, -.778762+.719514*ii, 1.40733+.432826*ii, -.691947-.638728*ii, -3.48087-6.3857*ii, -5.18414+8.60885*ii, 8.21397-6.7254*ii, -6.65069-4.60129*ii, 1.21293+7.55996*ii, -.87638+11.1788*ii
-.325143+.301084*ii, 1.18092+.688089*ii, -.367243+.282784*ii, -1.39886-.704778*ii, .632171-.368349*ii, -.569544+.283969*ii, -.0519851+.129284*ii, .0352366+.0535359*ii, -.165491+.0528972*ii, .011389+.968158*ii, .28996+.234828*ii, -.379821-.242882*ii
-9.44958+15.2258*ii, 24.1353-8.86469*ii, -9.39423+15.1366*ii, -26.2009-12.8659*ii, .0365081+.0134091*ii, 1.07538-.395092*ii, 5.03034-24.3843*ii, .591218-2.86609*ii, -.259725-.124885*ii, -20.6539-10.958*ii, -5.82866-2.8033*ii, -.920341-.48818*ii
-.136178-.882434*ii, -.822921-1.08114*ii, -.023364+.904016*ii, -1.20217+.210114*ii, -.445773+.585647*ii, -.805901-.143119*ii, .0131362-.364455*ii, -.140165-.16909*ii, .210323+.373038*ii, -.783807+.810958*ii, -.162788+.691979*ii, -.016265+.679238*ii
2.03325-.607596*ii, -.511317-.268112*ii, -2.8429+1.87856*ii, -.048627-1.27051*ii, -1.53397+.804345*ii, -.029704+.784651*ii, .208808+.802328*ii, -.857405+.725434*ii, .352347-2.17293*ii, -.788664-.592591*ii, 1.33048+.921719*ii, -.265605+1.3151*ii
.500449-.254512*ii, 1.907+1.06921*ii, .723154-.167887*ii, -.384453-.249112*ii, .398966-.223692*ii, 1.82949-1.18331*ii, .307498-.524474*ii, -.314959-.513863*ii, -1.92195-.035773*ii, .428938+.3684*ii, -.868502-1.72228*ii, .524231-.206658*ii
-.623526-.787536*ii, .811323-1.30822*ii, -.59238-1.28864*ii, .324617-.491642*ii, .342377+.552066*ii, -.932658-1.41445*ii, .267118-.80267*ii, -.672878-.636666*ii, -.007751+1.74881*ii, -.243791-.646048*ii, -1.44542+.659935*ii, -.758031-.054597*ii
.824191-.218838*ii, -.204743-.62853*ii, -1.2407+.572154*ii, .969209+.646432*ii, -.468552+1.43838*ii, -.712663+.47564*ii, .239841-.272782*ii, -.422701-.201985*ii, .799926-.920259*ii, -.170311-.502409*ii, .516819+.786039*ii, -.56733+.388498*ii
-.0536965-.00397073*ii, 1.38461+.599138*ii, .06333-.0087371*ii, -.11327+.810822*ii, .608324-.26323*ii, -.170284-1.20706*ii, -.00237901-.0325133*ii, .0211606-.0154201*ii, -.157254+.61402*ii, .635768+.820263*ii, -.546953-.562323*ii, .297673-.78393*ii
-.585939-.393246*ii, .689761+.321521*ii, -.475483+.0919368*ii, .989501-.766621*ii, 1.191-.555163*ii, -.631411-.488796*ii, -.0894476-.267378*ii, -.0303748-.295142*ii, .299591+.280965*ii, .0531565+.261677*ii, -.337595-.198142*ii, .0062105-.280104*ii
1.11026-.686057*ii, .0734543-.457677*ii, -.944508+.633217*ii, 1.20998+4.23205*ii, .341864+2.13008*ii, .062409-.219087*ii, .0418262+.145154*ii, .0126593+.0747858*ii, .663161+.115583*ii, .875922+.336277*ii, 1.36774+.074184*ii, .40794+.214943*ii
.765534+.086206*ii, 2.19932+.428453*ii, -.831652-.137283*ii, .409506+.815644*ii, .438061-.0853393*ii, .491349-.973374*ii, .22907-.34154*ii, -.124602-.150591*ii, -.39256+.0904755*ii, .742062-.134794*ii, -.398048-.725877*ii, .0349534-.365345*ii
-.93695-1.53077*ii, -1.34875-.306116*ii, .665108+1.89643*ii, -.745288-.637768*ii, -.705106+.160033*ii, -.774307+.660249*ii, .860625+.289205*ii, .550687-.372288*ii, .20438-.307633*ii, -.355598+.842698*ii, .50122-.027671*ii, .340164+.580657*ii
.794033+.109005*ii, 2.02522+.521534*ii, -.841883-.098849*ii, .114632+1.28284*ii, .463064-.119248*ii, .066745-.767201*ii, .0621011-.290417*ii, .104509+.0031256*ii, -.113055+.117484*ii, .865199+.267138*ii, -.264188-.355317*ii, .044617-.330442*ii
3.05033-15.1023*ii, -.581663+.246299*ii, 3.3301+24.4003*ii, -.900683+.712581*ii, -1.45782-.617298*ii, .682003+.539082*ii, -5.07774+4.31872*ii, 8.54879+3.23716*ii, -7.94038-7.48867*ii, -4.04422+7.49531*ii, 7.54458-2.44423*ii, 11.7211-.07698*ii
-2.83448-.568542*ii, 1.30774+1.43278*ii, 2.41559-1.50549*ii, .146543-.418008*ii, .347521-.380749*ii, .747413+2.12835*ii, -.462242-3.22523*ii, .96263-3.66891*ii, -1.21756-.28394*ii, .817936-.024259*ii, -1.05909+.185048*ii, .886322+.34626*ii
.857671-.062043*ii, 1.72922+.595867*ii, -.907852+.033288*ii, .815772+1.15577*ii, .516917-.178123*ii, .406866-.572048*ii, -.156588+.246983*ii, -.0693803-.0830548*ii, -.165635-.138006*ii, 1.02163+.231326*ii, .223018-.515558*ii, .195934-.351058*ii
1.5242-.082380*ii, -.984334-.262659*ii, 1.47368-.150655*ii, -2.1402+2.15709*ii, -.948387+.253067*ii, -.2345-.232496*ii, -.19872-.163633*ii, .0340157+.0787791*ii, -.289143-.0489048*ii, .40023+2.30372*ii, -.848999+.312598*ii, -.25869+.71238*ii
.010462-.0219137*ii, 1.41877+.611867*ii, .00711421-.028118*ii, -.087482+.800612*ii, .594301-.256301*ii, -.136219-1.23154*ii, .0141377+.00482159*ii, .00232528+.0116705*ii, -.185831+.602586*ii, .66052+.786645*ii, -.53849-.573028*ii, .286323-.772361*ii
.574939-2.34686*ii, -1.48116+2.12827*ii, .459176-2.3873*ii, 1.19032+.102087*ii, -.220301-.316548*ii, -.830799+.079139*ii, -.097948+.994572*ii, .251622-.196178*ii, -.449453+.0769821*ii, 2.26767+1.417*ii, -.720299+1.22*ii, .1239+.851681*ii
.501186+.051061*ii, .227231+.420215*ii, -.424935+.356009*ii, .100406-1.65283*ii, .995691-1.84131*ii, .036872+.602234*ii, .0057744-.151676*ii, .0868276-.171022*ii, .132846-.799911*ii, -.059209+.796506*ii, -.171239-.618755*ii, -.49137+.881005*ii
.991083-.620546*ii, .125488-.42331*ii, -.827641+.556168*ii, 1.60503+4.05912*ii, .643732+2.1715*ii, .0842994-.213596*ii, -.0252575-.133816*ii, -.0073893-.0718243*ii, .644446+.041647*ii, .756855+.208004*ii, 1.24136-.028773*ii, .382643+.142246*ii
-.465466+.180002*ii, 1.15072+.698628*ii, -.511152+.159854*ii, -1.28183-.945864*ii, .634971-.385504*ii, -.504002+.369393*ii, -.0845685+.127439*ii, -.037615-.0584315*ii, -.200513+.0889194*ii, -.000848+.812107*ii, .342283+.325791*ii, -.34812-.144614*ii
-2.78463+1.33659*ii, 1.61114+.357861*ii, -2.36801+1.79052*ii, .662178-.71176*ii, .591496-.131381*ii, .702178+.751151*ii, 1.48833+.560116*ii, -.581444-.806835*ii, 1.80933+.090118*ii, .003853-1.5733*ii, 2.47776-1.52168*ii, .555859-.807352*ii
-.314691-.447853*ii, .718988+.304886*ii, -.263942-.0729271*ii, 1.11639-.652346*ii, 1.17886-.499895*ii, -.667625-.389889*ii, .0180315+.211149*ii, .0085910-.210443*ii, .144182+.268954*ii, .377025+.370571*ii, -.179005-.250952*ii, -.323568-.411341*ii
.72409-.095917*ii, 2.35819+1.20536*ii, .854281+.081367*ii, .405091+.227006*ii, .336214-.171852*ii, 1.87655-1.04816*ii, .628523-.46232*ii, -.023251-.629465*ii, -1.7866-.476535*ii, .892566+.059716*ii, -.734442-2.15666*ii, .442665-.575468*ii
-1.8314+3.11628*ii, -4.63304-3.929*ii, -2.15885+3.85669*ii, -.137397-.183939*ii, -.125549+.106471*ii, 2.59734-3.4789*ii, 3.01201+7.13671*ii, -4.88678+2.43866*ii, 3.99984+2.91627*ii, -1.85903+.277935*ii, 4.41958-5.33288*ii, -.280623-1.31376*ii
-.198451+1.24167*ii, -.221664+.0498495*ii, .113384+3.62294*ii, .679757-1.46005*ii, -4.29416-.965705*ii, -.261725-.562077*ii, .373454-.106407*ii, -.499724-.931318*ii, 1.61215-3.14601*ii, -.457205-.688118*ii, -1.00058-.822674*ii, 1.56912-1.61895*ii
-.498914+.444025*ii, 1.32283+.802221*ii, -.532829+.424456*ii, -1.67084-.771062*ii, .55269-.335175*ii, -.493002+.223032*ii, .0784323-.159516*ii, .02746+.0545701*ii, -.0946229+.0313553*ii, -.153493+.832906*ii, .226886+.172481*ii, -.209952-.208969*ii
1.72563-.143631*ii, -1.49691-.283728*ii, 1.76114-.205576*ii, -.539215+2.10463*ii, -.644874+.122231*ii, -.117045-.441229*ii, .144066+.352762*ii, -.0688695+.0850845*ii, .0048-.279574*ii, .763165+2.07973*ii, -.834651-.417469*ii, -.463245+.475371*ii
3.00771-.450117*ii, .0008418+.128102*ii, -4.43719-1.27826*ii, 4.64009-3.41292*ii, .051295-7.80595*ii, -.139594-.102788*ii, .231814+.123261*ii, .320883-.150169*ii, 3.0731-1.78747*ii, 2.1304-1.08935*ii, -2.41698-1.02962*ii, -.543302+3.19205*ii
.191966+.717401*ii, .392062+2.16533*ii, -.010262+.916101*ii, .448718-.199105*ii, .0809652-.447164*ii, 1.85785+.826769*ii, -.121575+.741159*ii, -.497552-.479491*ii, -.407159-1.81616*ii, .74914+.762672*ii, 1.37648-1.47036*ii, .972192-.175528*ii
-.566924+.19495*ii, -.579083-.875795*ii, -1.04975+.22939*ii, .576142+.255773*ii, -.525315+.794477*ii, -1.44752+.642368*ii, .346093-.321233*ii, -.38906-.59286*ii, 1.69733-.179878*ii, -.166396-.406132*ii, .304161+1.08995*ii, -.645718+.145952*ii
5.00672-6.11924*ii, -.169857-.148328*ii, -6.06474+1.19003*ii, 3.91969-1.73606*ii, -3.34018+2.91682*ii, .213117+.0945253*ii, -.824196+.413523*ii, -.691342+.660107*ii, -1.96057-3.40771*ii, -.063167-3.37627*ii, .836217+3.70964*ii, 1.09516+3.31496*ii
.446537+.294082*ii, -.431553-.524688*ii, .574028-1.83041*ii, -.321241+.230814*ii, -.935038+1.13683*ii, 2.05043+1.47335*ii, -.24033-.628632*ii, -1.45993-2.02623*ii, -1.11458-.513833*ii, .280078-.304991*ii, .254397+.210558*ii, -.715329+1.3626*ii
.893476-1.01689*ii, .489176-1.04461*ii, -1.38232+.987434*ii, .554942-.777284*ii, .367662+.785124*ii, -.606346-.851142*ii, .698826+.075074*ii, -.371564+.512717*ii, -.0665542+.0223819*ii, -.737312-.504781*ii, -.057622-.0518307*ii, -.726607+.356942*ii
1.14401+.873793*ii, .193936+.309985*ii, -1.53992+.742981*ii, .513393-1.78492*ii, 1.45051-2.31848*ii, .14882+.51693*ii, -.1401+.360386*ii, -.343515+.453689*ii, .879625-1.1597*ii, -.295519+.74887*ii, .357945-.922391*ii, -.721095+.939549*ii
.390312-.5493*ii, -.620814-.145514*ii, -.198812+1.58964*ii, .230932-.646352*ii, -1.5269+.357894*ii, .489754+1.37001*ii, -.470247-.131969*ii, -.329616-1.06179*ii, -.166145-1.98718*ii, -.369144+.031134*ii, .771054+.411415*ii, .516718+.668953*ii
1.28161-.57535*ii, .351766-.828681*ii, -2.24478+.505955*ii, .623229-.534308*ii, .434037+1.02249*ii, -.922941-.79176*ii, .814368+.241807*ii, -.643194+.943938*ii, .525406-.034837*ii, -.60474-.650357*ii, .142352+.362904*ii, -1.08457+.512533*ii
-.0123234-.0570654*ii, 1.38741+.593993*ii, .0285848+.0639832*ii, -.098494+.800851*ii, .609117-.260781*ii, -.15255-1.22737*ii, -.0337725+.01205*ii, .0224832+.018637*ii, -.190381+.593104*ii, .617691+.83194*ii, -.508036-.565387*ii, .333767-.780806*ii
.00856354-.0136899*ii, 1.40781+.609353*ii, .00678752-.01802*ii, -.090557+.807215*ii, .598242-.258941*ii, -.138591-1.22069*ii, -.0089139-.00418891*ii, .000706765+.00780437*ii, -.177749+.593621*ii, .648879+.798568*ii, -.532111-.561737*ii, .29561-.769197*ii
.587519+1.85193*ii, 2.22512+.40283*ii, .345607-1.39891*ii, -.46464-.0531326*ii, .435152-.0787787*ii, 2.12376-.241536*ii, -.842937-1.90054*ii, -1.27989-1.50066*ii, -1.25912-.498598*ii, -.169843-.12028*ii, -1.12354-.889004*ii, -.186496-.062602*ii
-4.42723-5.76857*ii, .0878497-.250946*ii, .145041+5.72582*ii, -.068251-3.75756*ii, 1.24272+3.54988*ii, -.0049867+.265903*ii, -.780142+.572359*ii, .566593-.788071*ii, -3.38963+.522394*ii, -3.25419-.297703*ii, 3.38212+.563439*ii, 3.18498-.734868*ii
-10.0932-12.4854*ii, -.67783+.280743*ii, 20.8339+12.6879*ii, .841963-.628556*ii, -1.25927-.521565*ii, .761741+.568051*ii, .316123+7.58596*ii, 8.18447-5.38726*ii, -10.588+1.388*ii, 3.17763+7.89137*ii, 3.26394-7.57138*ii, 6.67351-8.76722*ii
2.13237+2.46859*ii, .115667+.0669701*ii, -1.08142-4.61478*ii, 5.34315+1.78325*ii, 6.47493-3.74894*ii, -.168198+.0560307*ii, -.247189-.148018*ii, -.36386+.11395*ii, 2.84479+1.13351*ii, 2.32828+1.18428*ii, -.781292-2.17246*ii, -3.223+1.27181*ii
2.79584-3.17247*ii, -6.91178-2.52125*ii, 2.53245-3.00837*ii, -.328338+.180368*ii, -.12769+.0465782*ii, -2.35623-1.2875*ii, -5.48191+2.05386*ii, -2.16797+.48554*ii, -1.00987+1.58785*ii, -1.00503+5.44627*ii, -2.08439+4.71619*ii, -.660304+1.91028*ii
.459553+.845762*ii, .690238-.769975*ii, .456759+.891485*ii, -1.62138+2.45395*ii, .64551+.72008*ii, .184389+.28187*ii, -.0768807+.134689*ii, -.0330582-.0347384*ii, .0672353+.357504*ii, .011295+1.4903*ii, 1.00728-.482298*ii, -.469982-.121547*ii
.032404+.989926*ii, .689338+.842147*ii, -.855716-.263132*ii, .357843-.601426*ii, .582015-.711034*ii, -.730296-1.22693*ii, -.594807+.381629*ii, -.846859+.380629*ii, .778569+.068680*ii, .125325+.766457*ii, -.594624+.036357*ii, -.013273-1.01885*ii
.16311+.726364*ii, .662499+1.97462*ii, -.145205-.71868*ii, -1.73706+1.39698*ii, .152719-.455189*ii, .346886+.290069*ii, -.0937486+.149777*ii, -.00440675+.0405799*ii, .0612831-.0380718*ii, 1.23239+1.69299*ii, .332306-.0017406*ii, .420331+.173225*ii
.712066-.031966*ii, .0109132-.145459*ii, 4.30089-2.97554*ii, .822202+.44259*ii, .512903+6.83633*ii, .941747-.506961*ii, -.326096+.194929*ii, -2.48721-1.24223*ii, -4.16228+.113332*ii, -.444465+.122236*ii, -.292696+.486639*ii, -2.51028-2.26325*ii
-.52719-.808195*ii, -.06015+.379471*ii, -1.11191+1.49761*ii, .152665-1.20727*ii, -.407475-2.57066*ii, .102884+.814369*ii, -.301399+.255462*ii, .466107-.702923*ii, .784757-.786561*ii, .370198+.578338*ii, .45548-.251007*ii, 1.10435+.96573*ii
-1.60696-1.26248*ii, .0929669+.156127*ii, -5.42203+.228483*ii, .524254+2.00792*ii, 2.81561-4.72848*ii, -.121508+.46565*ii, .390081-.29674*ii, 1.28266+.182263*ii, 3.93518+2.47445*ii, 1.46159+.404945*ii, 1.70858-.401845*ii, 1.95453+3.5091*ii
.0452025+.412083*ii, -.504902-.097673*ii, .312495+1.38076*ii, -.03985-.590374*ii, -1.90914+.369322*ii, -.113618+1.6838*ii, .348208-.0146307*ii, -.188345-1.12526*ii, .491519-2.09499*ii, -.016218-.0754321*ii, .615032+.227411*ii, -.239083+.0833616*ii
-15.9573-12.0695*ii, -21.9314+4.06637*ii, 15.8638+11.9988*ii, 6.05011-23.1926*ii, -.0440812-.00817322*ii, -.975967+.180829*ii, 21.5584+10.7955*ii, 2.53344+1.26869*ii, .106638-.743329*ii, -3.19186+.079183*ii, 2.39427-16.7044*ii, -.142037+.0035057*ii
-.864927-.525352*ii, .178804-1.04332*ii, -.771283-1.28089*ii, -.44218+.540514*ii, .159578+.931133*ii, -.904852-1.10729*ii, -.098198-.714215*ii, -.811384-.534535*ii, .410545+1.88362*ii, -.225988-.0853979*ii, -.852527+1.14442*ii, -.287411+.154618*ii
-5.98199+18.8226*ii, 18.0515-7.57696*ii, -5.94695+18.7124*ii, -39.6292-5.59977*ii, .0470991+.0197695*ii, -.80434+.337425*ii, -1.87084-20.8097*ii, .219822+2.44592*ii, .11656-.0505551*ii, -23.1701+2.13149*ii, -2.6159+1.13521*ii, 1.03235-.09476*ii
-.528522-.380972*ii, .857406+.402778*ii, -.914754-.304951*ii, .049451-.859948*ii, .95546-.44884*ii, -.067181-1.15706*ii, .20076-.317513*ii, -.456828-.028964*ii, -.027542+.853046*ii, -.0997968+.128205*ii, -.602084-.352318*ii, .196101+.0325079*ii
-.576427+.665622*ii, -.774648-.370256*ii, -1.31453+.718415*ii, .629329+.450869*ii, -1.05084+.502267*ii, -1.0487+.750727*ii, -.053201+.562799*ii, -.698474-.477971*ii, 1.99673-.650715*ii, .130276-.123529*ii, 1.02092+.955146*ii, -.0680734-.260947*ii
-.771504+.817869*ii, -.939079+.001708*ii, -1.5597+.728745*ii, -.433249-.671306*ii, -1.06487-.001937*ii, -.678187+1.04965*ii, .165179+.679675*ii, -.874617-.309502*ii, 1.78039-.706999*ii, -.193043+.0396012*ii, 1.17381+.833282*ii, -.0955921+.244198*ii
.476703-.870695*ii, -.346859-.636631*ii, -.304578+.314262*ii, -.800759+1.27958*ii, -.659917+1.21122*ii, -.351308-.561556*ii, .329046-.0189129*ii, -.300613+.0352514*ii, -.0089786+.446672*ii, -.019712+.518166*ii, -.0392027+.487409*ii, .0104861+.473652*ii
.115451+.31938*ii, .937233+.861392*ii, -.105701-.373553*ii, -1.11234-.68939*ii, .578395-.531591*ii, -.647715+.400145*ii, -.099201-.0798639*ii, .0614325-.0429283*ii, -.192966-.166302*ii, .28775+1.06237*ii, -.180322+.385861*ii, -.658266-.006346*ii
1.14494-.566311*ii, .0792294-.374411*ii, -.960104+.501203*ii, 1.31247+4.8127*ii, .540958+2.55639*ii, .0527819-.193863*ii, -.0252765-.127658*ii, .0097552+.0689502*ii, .751003+.132815*ii, .880982+.341808*ii, 1.44261+.170663*ii, .451485+.205638*ii
2.09006+.615678*ii, .246715-.553935*ii, -.453958+1.07068*ii, .627068+1.31643*ii, .670945+1.50644*ii, .294744-.618828*ii, .498678-.556358*ii, -.580955+.616109*ii, .117447-1.05954*ii, -.669039+.195436*ii, .079976-.939704*ii, -.761634+.201563*ii
.635518-1.8414*ii, .009692-1.12365*ii, -.563721+2.15155*ii, 1.41901+.411706*ii, .007676+.889888*ii, -.647376+.18889*ii, -.026381+.646744*ii, .369417-.0987164*ii, -.100333-.632183*ii, -.178216+.0313992*ii, 1.05686+.143685*ii, .0488853+.0969763*ii
