variable ordering: c, dt, v, F0, F, dt0, L0, L, m0, u0, m, u
-2.21826+.23496*ii, 3.84026+1.89559*ii, -1.87061+.389267*ii, -.318329+.266537*ii, .209383-.103354*ii, -1.84619-1.54632*ii, -2.22955-1.49799*ii, -1.0189-1.11474*ii, -1.14408+1.39551*ii, 1.09756-2.39091*ii, 1.39006-2.89239*ii, -.917587+1.16041*ii
-1.29587-1.041*ii, .640465-1.77003*ii, 1.413+.513903*ii, .499715+.461066*ii, .18076+.499558*ii, -1.29367-.692876*ii, 1.21943-.083515*ii, -.875717-.380783*ii, -3.58805e-17-6.58688e-17*ii, .187628+1.72106*ii, 1.79669e-16+1.0917e-18*ii, 1.34888+.048498*ii
-.627681-.314463*ii, 1.1489-.236716*ii, .51581+.479937*ii, .747166+.854129*ii, .834951+.172031*ii, .094451+1.55601*ii, -.286353+.116944*ii, -.118262+.199995*ii, -1.13757e-16+3.12883e-17*ii, -.147461-1.44529*ii, 3.5689e-18-2.34463e-16*ii, 1.92904+.078922*ii
4.14618+5.94744*ii, -4.48107-2.32974*ii, -4.14607-5.94728*ii, 13.0146-6.76646*ii, -.175675+.0913349*ii, 6.63117-14.3736*ii, -19.7434-6.0644*ii, -.000125608-.000965848*ii, -1.03351e-15-9.53408e-16*ii, -4.37851+.664071*ii, 1.32392e-15+1.27229e-15*ii, -2.72654-13.6098*ii
-.36864-.087256*ii, .688649-1.04167*ii, .625515+.119664*ii, .514311-.292476*ii, .441634+.668031*ii, .907534+2.05613*ii, .234354+.2181*ii, .273287-.336278*ii, 1.09522e-16+1.99152e-16*ii, -.78608-.850397*ii, 2.66592e-17+8.37352e-18*ii, 2.05244-.363143*ii
-.914442-.299825*ii, 1.24426-.464496*ii, .846538+.433992*ii, .699149+1.15805*ii, .705388+.26333*ii, .334084+2.10574*ii, .269524-.232098*ii, -.0372379+.194424*ii, 1.74495e-16-1.52725e-16*ii, -.145217-1.46816*ii, 5.95117e-17-4.5374e-17*ii, 2.35622+.239641*ii
-1.31245-3.76419*ii, -.348922-.257752*ii, .628824+1.52928*ii, -2.01886+1.52695*ii, -1.85417+1.36969*ii, -.315092-.238319*ii, -.241744+.749356*ii, -.227829+.679804*ii, .095343+1.07479*ii, -.149148+1.77005*ii, .118037+1.1789*ii, -.154061+1.61037*ii
-.224037-.0037469*ii, .444551-.904993*ii, .469301-.0020629*ii, .489939-.22425*ii, .437275+.890183*ii, 1.09113+1.65201*ii, -.187587-.0896844*ii, .155574-.349667*ii, 3.91345e-17+1.15039e-16*ii, -.688502-.731211*ii, -1.24705e-16-6.27859e-17*ii, 1.92245-.439678*ii
.519265+1.98127*ii, -.401256+.69838*ii, -1.63428-.552862*ii, -.711345-.752931*ii, -.618514-1.07652*ii, .481726+.493977*ii, -.867282-.474582*ii, -.878016-.795663*ii, -6.80679e-20+5.87487e-20*ii, -.198217-2.10001*ii, -5.707e-21+3.53432e-20*ii, -1.777-.327671*ii
-3.8783+3.62798*ii, 8.32944+8.90146*ii, -3.8782+3.62788*ii, 4.15236-4.4371*ii, .0560469-.0598959*ii, -.0564423+.0527923*ii, -7.96824-10.2961*ii, -.00171831-.00011391*ii, .0671602+.0536936*ii, 1.92207-10.1355*ii, 8.46739-10.5958*ii, .0642514+.0121989*ii
-.225704+.0774322*ii, -.0621713+.490808*ii, .990932+.53947*ii, -.238522+.353489*ii, -.254011-2.00528*ii, -1.31188-1.94418*ii, .223279+.168584*ii, -1.32257+.096553*ii, .062262-1.39302*ii, .213587+.307076*ii, -.203541+.212333*ii, -1.72099-.427487*ii
-1.34737+.802995*ii, .291331+.81081*ii, -.283735-.409939*ii, -.380624+1.03896*ii, .392478-1.09231*ii, .405288-.0075307*ii, -.550125-.446849*ii, -.579914-.465085*ii, -1.05467e-20-2.75013e-21*ii, .558822-1.74399*ii, -7.28602e-20-1.83057e-20*ii, -.692927-.512108*ii
-2.63754-3.2856*ii, -.321018+.0446299*ii, 2.1696+1.39353*ii, -3.59415+.063200*ii, -3.05602-.424867*ii, -.217016-.37713*ii, .35874+.463359*ii, .242454+.440599*ii, -7.3217e-17+1.03457e-15*ii, -.216714+1.84692*ii, 7.10917e-16+3.57422e-16*ii, -2.4079+.659207*ii
5.3713-19.0369*ii, -70.3903-19.4724*ii, 5.20089-19.2133*ii, -.022071+.0840817*ii, -.0131966+.00365065*ii, 2.88437+11.1644*ii, 113.832+2.2345*ii, -8.67258-15.7333*ii, 6.86741-8.23603*ii, 21.6172+62.2479*ii, 23.4845+63.7305*ii, 6.81176-7.86373*ii
-.414469-1.0246*ii, -.036781-1.51878*ii, .845148+.547254*ii, -.24267-.591403*ii, -.015936+.658037*ii, -.953134+.045458*ii, .864438+.004331*ii, -.813163-.361836*ii, -2.18444e-20+2.22079e-20*ii, .076432+1.44194*ii, 1.63833e-20-1.6656e-20*ii, .904302-.069224*ii
-2.83156-2.74064*ii, -.421386-.0732763*ii, 2.33269+.804024*ii, -2.43318+.924648*ii, -2.30347+.400558*ii, .0137422-.298276*ii, -.321397-.685294*ii, .166538+.659079*ii, 2.9388e-16-1.18914e-16*ii, .464745+1.57975*ii, -8.98256e-17-8.52637e-17*ii, -1.05327+.460607*ii
-1.09803-1.54262*ii, -.0198136+.257326*ii, 4.9673+3.36355*ii, -1.20757-.39396*ii, -.297461-3.86322*ii, -.748578+.244211*ii, .599235+.443225*ii, -.550691+2.20585*ii, 1.48035-3.5087*ii, -.626345+.091722*ii, -.877267-.887939*ii, -.98898-1.65888*ii
-.292995+.147338*ii, -1.98562+1.82212*ii, -.33797+.18183*ii, -.452921+.402624*ii, -.273395-.250883*ii, 1.23379+1.09691*ii, .261461+.0697659*ii, -.0262683+.163636*ii, .878759-.744044*ii, .516371-1.21059*ii, 1.06288+1.55028*ii, -.769839-.239494*ii
-.699753-.32432*ii, .606471+.087893*ii, 1.01743-.611099*ii, -.804672+.522896*ii, 1.61496-.23405*ii, .873872+.567901*ii, .213629+.340343*ii, -.087339-.677665*ii, -.678541-.625377*ii, .269312-.719022*ii, -.516347-.166705*ii, .928251-.918391*ii
-26.320-791.444*ii, 311.793+433.124*ii, 26.322+791.495*ii, -1419.35-172.779*ii, .00109474-.00152074*ii, -1455.52+896.532*ii, 1233.61+1598.77*ii, -21.5802+16.6513*ii, -2.81103e-18+1.6672e-17*ii, 422.086+115.843*ii, 3.56706e-17-4.88529e-17*ii, -467.195+1321.89*ii
.616143+.000243*ii, -.503794-.624206*ii, .383564-.273973*ii, .465991-1.16863*ii, -.782968+.970106*ii, .294374+.738378*ii, -.0905974-.227479*ii, -.0192267-.241838*ii, -.234653-.527048*ii, -.564964+.347662*ii, .383256+.438245*ii, .636612-.163881*ii
.740833+.069606*ii, -.535432-.839837*ii, .42494-.117615*ii, .459457-1.04467*ii, -.539742+.846598*ii, .352738+.80212*ii, .102744+.309365*ii, -.0477749-.282734*ii, -.036351-.562658*ii, -.797157+.357235*ii, .138471+.625744*ii, .741077-.203535*ii
-1.15548+9.64959*ii, -5.65999-10.4089*ii, 1.88254-9.34406*ii, .189902-.0909782*ii, -.0403192+.0741478*ii, 25.9528+6.44279*ii, 12.3686-19.4795*ii, -.56180-9.22978*ii, 3.26688e-16+9.11039e-16*ii, -6.58499+.74269*ii, -6.25766e-16-5.98157e-16*ii, 8.80001-12.0931*ii
.871284+1.05388*ii, -.516827-.669204*ii, .052957-.996036*ii, .893548-.693461*ii, -.722892+.936022*ii, .698533+.54206*ii, -.018656-.604157*ii, -.177135-.606625*ii, -.38067-.594096*ii, -.640162-.006629*ii, .210082+.641221*ii, .6498-.161006*ii
-3.30876-3.72051*ii, -8.71701+7.10643*ii, -3.30868-3.72041*ii, 5.10557+4.1619*ii, -.0689159-.0561828*ii, .0450562+.0552462*ii, 10.5335-4.33089*ii, .00147067+.000237684*ii, .0627323-.064172*ii, 7.92591+2.09734*ii, 10.1219+9.8986*ii, .0132849-.0502427*ii
3.69964-1.62611*ii, -1.92788-1.42506*ii, -3.34812+.463455*ii, .543926-.149381*ii, -.335428+.247944*ii, -1.70962-.469272*ii, -3.5438+.521589*ii, -2.30521+1.3039*ii, -.257691+2.02604*ii, -.267858+.0154518*ii, -1.31236+2.43012*ii, -.180653+.0820386*ii
-.414625-1.64182*ii, -.125929+.347165*ii, 3.68878+3.32646*ii, -.899947-.276057*ii, -.923356-2.54554*ii, -1.01578+.311575*ii, -.466281-.76913*ii, -.960131+2.40248*ii, 1.27506-2.61732*ii, -.328815+.0136424*ii, -.459979-.901344*ii, -.600547-.732007*ii
.648223+.447121*ii, -.148664-.317347*ii, 1.17392+1.31409*ii, 1.38716+.202356*ii, -1.21052+2.58405*ii, -.706003+.103001*ii, -.251801-.124429*ii, -.39062+.417465*ii, .982722-1.24092*ii, -.634735+.990725*ii, .723011+.285913*ii, 1.55743+1.82013*ii
-.11568-1.70946*ii, -.668031-.150804*ii, -.526361-2.07557*ii, -.368706+1.68156*ii, -1.42435+.321539*ii, -.124376-.567567*ii, .477796-.13914*ii, -.278707-.317037*ii, -1.89024+.84319*ii, .476512+.891377*ii, -.044312+2.43915*ii, -.513577+.686746*ii
.0452994-.0505978*ii, .365845+.138695*ii, -.59454+.220423*ii, .206806+.180691*ii, 2.38991-.906035*ii, .333964+.322364*ii, -.0014957+.123636*ii, -1.00851-.554126*ii, -5.25905e-21-2.95992e-20*ii, .365414-1.36275*ii, -7.794e-23-1.15642e-20*ii, 1.03593-1.31474*ii
-3.39267-3.76492*ii, -8.46594+7.15936*ii, -3.39258-3.76482*ii, 5.10208+4.31428*ii, -.0688688-.05824*ii, -.0453911-.0536538*ii, 10.3131-4.32025*ii, .0014812+.000202213*ii, -.0621619+.0638308*ii, 7.93928+1.97511*ii, 10.0682+9.80876*ii, -.0125097+.0503268*ii
.55252+2.1342*ii, -.962691+.348851*ii, -.504788-2.07401*ii, 3.17198+1.95457*ii, -.918186-.332724*ii, .228105-.140762*ii, .213307+.204779*ii, -.0655912-.0411118*ii, -.253159-.745192*ii, -.254279-1.16433*ii, .366637+2.98407*ii, .127282+.284827*ii
-.20845+1.29531*ii, .2431+.192502*ii, 1.83414+1.44148*ii, .805325-1.44824*ii, 2.52822-2.002*ii, .293308+.52749*ii, .372138-.134968*ii, -.769548-.035141*ii, 1.23964-2.35914*ii, -.056895-1.3758*ii, .123397-1.36363*ii, .924629-2.51557*ii
-6.4016+7.41639*ii, -1.01256-6.73315*ii, 6.40143-7.4162*ii, -1.61499+10.7616*ii, -.0218409+.145234*ii, .0427048-.00648283*ii, -4.50077+2.19707*ii, .00149715+.000948949*ii, -.015129-.0706006*ii, 1.85323-.924056*ii, -11.1324+2.36938*ii, .00587836+.0117484*ii
.0888883-.0041935*ii, .156269+.19246*ii, -1.40369+.314086*ii, .163929+.188739*ii, 2.54258-3.13143*ii, -.106511-4.03163*ii, .110246-.139721*ii, -2.52781-1.36257*ii, -3.68584e-17-6.71422e-17*ii, .174996+.073967*ii, -5.54642e-17+3.97242e-17*ii, -1.52313-2.68933*ii
.365227+.30174*ii, -.351253-.124237*ii, .095591+1.55316*ii, -.758998-.291046*ii, -2.53039+.894992*ii, -1.14881+.440536*ii, -.276201-.0928579*ii, -.892818+.358484*ii, .872928-.357882*ii, -.606614+.281284*ii, .271449+.0890714*ii, -.921447+2.00668*ii
95.7432+14.0109*ii, -45.1215+44.5783*ii, -95.7494-14.0118*ii, 96.408-39.8134*ii, -.0112154-.0110804*ii, -.664923-.672976*ii, 17.3768+23.6277*ii, .31893-.234576*ii, -1.15956+1.01748*ii, -16.8036-22.0697*ii, 68.2145+77.7457*ii, .329166-.250643*ii
-1.32228-.578295*ii, 1.12865+.912335*ii, -.244942-.0838441*ii, -.543326+.44165*ii, .535869-.433166*ii, -1.10829-.900893*ii, .472201+.915984*ii, -.462173-.902572*ii, -.617547+.08968*ii, .691652-.353656*ii, .627248-.092837*ii, -.681629+.346188*ii
-.0516526+.0983183*ii, .12667-.370684*ii, .554531-.326121*ii, -.276327+.346968*ii, .825472+2.41564*ii, 1.40473+1.76383*ii, -.122966+.0234978*ii, .267344-.669046*ii, -.0883505-.229026*ii, -.160719-.381175*ii, -.0252503+.0343671*ii, 2.34686+.402728*ii
-13.3337+.66035*ii, -.783255+.628724*ii, 5.3663-6.39641*ii, .834755+.451008*ii, -.776436-.623251*ii, 5.60524-6.18951*ii, -6.01632+3.64596*ii, 6.89834-2.62625*ii, -5.89171e-16+1.18823e-16*ii, .422114+1.03142*ii, 6.02042e-16+5.53029e-16*ii, -4.81895-7.91373*ii
.728424+.71408*ii, -.0858609+.0217871*ii, -.690809+1.73394*ii, -4.72297-2.94651*ii, -10.9422-2.77657*ii, -.144905+.101469*ii, .0894566+.019785*ii, -.185009+.0169996*ii, -3.22921e-21-4.57331e-21*ii, -4.60566+.110508*ii, 2.39095e-20+1.47946e-19*ii, -8.52197+3.46694*ii
.0651518-.379183*ii, -2.19937-.907897*ii, .0657865-.381327*ii, -1.70661-3.52249*ii, -.388478+.160363*ii, -.659817+3.13322*ii, -.0401034-.0286865*ii, .0033536-.00414986*ii, 1.42301e-16+2.5822e-17*ii, 1.04952-.16278*ii, -2.15169e-16+2.87851e-17*ii, -.473677-1.34845*ii
.093902-.0184954*ii, .210542+.202903*ii, -1.26722+.276322*ii, .171854+.185736*ii, 2.46255-2.3732*ii, -.165073-3.56401*ii, -.0991845+.161007*ii, -2.2028-1.29597*ii, -5.82364e-17-3.54467e-16*ii, .193848+.0706577*ii, 8.01473e-17+1.01063e-16*ii, -1.12593-2.25173*ii
6.38052-13.2039*ii, -.126771-.0459439*ii, -6.3901+14.0039*ii, -2.71598-22.0223*ii, -6.97245+2.52693*ii, .00554142-.0447729*ii, -.277748-.179205*ii, .0377392-.103913*ii, 2.68657+3.27759*ii, -8.12479+6.65015*ii, 11.3382-5.64679*ii, -2.77445-2.1547*ii
.0636539+.119625*ii, .227248+.173954*ii, -1.25112-.943603*ii, -.0645756-.295909*ii, 2.77464-2.12393*ii, .704074-3.22631*ii, .215343-.0605606*ii, -1.68733-1.95271*ii, -.798526-.016639*ii, .256396+.0320904*ii, .0306865-.0620445*ii, -.920804-2.83585*ii
1.19707-.854729*ii, -1.23057+.309662*ii, .889615-.461351*ii, .976821+.369312*ii, -.764237-.192314*ii, .895654-.33867*ii, .391343-.585435*ii, -.242641+.472664*ii, -.513188-1.35044*ii, -.518779+.632438*ii, .470258+1.8558*ii, .334134-.519005*ii
.106673+.0108808*ii, .0828971+.237824*ii, -1.45615+.589786*ii, -.184356-.199093*ii, 1.30687-3.74927*ii, -1.08949-4.01655*ii, .148262-.130604*ii, -2.70559-1.01907*ii, 3.37106e-17-9.2795e-17*ii, .170853+.119108*ii, -1.40713e-16-1.64691e-16*ii, -2.67749-2.16217*ii
-3.06889+1.29732*ii, -.366337-.164082*ii, .796412+1.05699*ii, 2.1578-.883114*ii, -2.27361+1.01835*ii, -.396972-.162464*ii, -.714435+.008205*ii, .762605-.033673*ii, 2.09282-.177353*ii, -.406986+.0458505*ii, 1.96289-.101962*ii, -.433064+.0631625*ii
-.119846+.0443826*ii, -.0735434+.356195*ii, .90383+.389876*ii, .200692-.295345*ii, -.555952-2.69266*ii, -1.57423-2.31669*ii, -.145717-.10387*ii, -1.35528+.248267*ii, -.141301-1.3943*ii, .102204+.29725*ii, -.11716+.13925*ii, -2.19096-1.02925*ii
1.45273-.150843*ii, -1.93746-7.11813*ii, 1.45269-.150839*ii, 2.63733-9.68979*ii, -.035601+.130796*ii, -6.74853+6.24538*ii, 3.99101+2.54632*ii, -.000103416-.000267306*ii, -1.2664e-16-4.36562e-16*ii, .677829+2.89146*ii, 1.58152e-15-1.5406e-15*ii, 2.80428-2.41628*ii
6.99632-7.72531*ii, 1.66638+6.75509*ii, -6.99614+7.7251*ii, 2.55106-10.3146*ii, .0344236-.139545*ii, -.0424404+.0103436*ii, 1.76856+1.28829*ii, .0017266+.000920905*ii, .0040779+.0655997*ii, -3.6293-.797218*ii, 10.4466-.67873*ii, .00506898-.0227722*ii
7.80827+6.48745*ii, -6.40394+1.23612*ii, -7.80806-6.48728*ii, 11.1556+2.15631*ii, -.150545-.0290589*ii, -.00779885-.0406601*ii, -.644246+4.60339*ii, -.00154183-.000843918*ii, -.0737748+.0087194*ii, -1.05014-3.4386*ii, 1.38727+11.6205*ii, .0218353-.00664041*ii
.205707+.183364*ii, -.242701-.159254*ii, .138632+.477489*ii, -1.9267-.544399*ii, -2.88019+1.8899*ii, -.74527+2.28951*ii, -.061887-.0300969*ii, -.108898+.0464865*ii, -6.64046e-17-3.14335e-17*ii, -.286879-.149233*ii, 5.89862e-17+1.00158e-16*ii, -.568755+2.62121*ii
-4.83399+1.74078*ii, -.320328-.0844546*ii, 1.472+1.97123*ii, 2.70131-.559659*ii, -2.9189+.769571*ii, -.354979-.0735411*ii, .921885-.1312*ii, .999537-.197283*ii, 3.29798-.389021*ii, -.472921+.28385*ii, 3.02845-.193815*ii, -.50017+.337852*ii
-.564742+.023619*ii, .438911+1.12468*ii, -.172412-.886715*ii, -.203908+.391437*ii, .30113-.771626*ii, -1.0469-2.00966*ii, .319293+.555021*ii, -.708129-.970772*ii, -.954376-.585169*ii, .754271+.105294*ii, .471845+.364843*ii, -1.42878-.043629*ii
-1.01367-.671876*ii, -1.10556-.134065*ii, 1.21932+.282379*ii, -.761324+.731572*ii, -.891413+.108097*ii, .682899+.656406*ii, -.125642-.562006*ii, -.201912+.446163*ii, .459243-.452911*ii, .173157+.168704*ii, -.111372+.75012*ii, -.031435-.203205*ii
-1.47329-.862829*ii, .691154+.354277*ii, .869683+.245503*ii, -1.24252+.784363*ii, 1.1458-.587323*ii, .575486+.363307*ii, .26718+.515854*ii, -.192776-.471062*ii, -.17103-.231754*ii, .298087-.714142*ii, -.218025-.245983*ii, .316066-.599948*ii
.268549+.433924*ii, 1.39908-1.16068*ii, .291288+.41717*ii, 1.65354-.062969*ii, .423372+.351231*ii, .170539+2.44211*ii, .0760471+.134127*ii, -.0109658+.050064*ii, -5.35296e-17+2.21973e-16*ii, -1.05085-1.62586*ii, -2.95112e-16+1.2934e-17*ii, 2.60388+.127743*ii
16.9579-14.5677*ii, -8.9953-11.7198*ii, 18.121-15.4109*ii, -.152187-.106833*ii, -.0412119+.0536942*ii, 4.4059-3.09335*ii, -14.8177+58.2771*ii, 20.9795+6.29472*ii, -10.0297-10.3015*ii, -21.1016+12.7089*ii, -27.0762+28.7014*ii, -4.30006-7.87886*ii
-2.19776-1.25583*ii, .183463-.809524*ii, -4.91758-.844851*ii, -.657618-.152404*ii, .266279+1.17495*ii, 1.4434-.33447*ii, 1.79581+.538656*ii, -.530311-3.30369*ii, -.250328+4.50971*ii, -.11528+.0378449*ii, 2.21323+1.22646*ii, -.150422-.15582*ii
.0102158+.00459581*ii, .133943-.843895*ii, .0560459+.162942*ii, .042608-.0630184*ii, .183459+1.15586*ii, -.649376-.527552*ii, .0125847+.0725436*ii, -.903711-.682881*ii, -1.30733e-17+1.25828e-17*ii, .027081+.794997*ii, -4.32696e-17-8.0231e-17*ii, .686947+.367112*ii
-1.58941-.854257*ii, .1496-.542876*ii, -3.51208-.39216*ii, .969875+.219339*ii, .471784+1.71203*ii, .981074-.221842*ii, -.874257-.242683*ii, -.354421-1.58112*ii, .133054+3.33222*ii, .098328-.585173*ii, 1.68002+.814381*ii, 1.00449-.338236*ii
-.442201-.0759213*ii, -.994765-.667188*ii, .589886+.005301*ii, -.213599-.884504*ii, -.693362+.465037*ii, -.258138+1.06853*ii, .0975998-.226404*ii, -.2259-.0120406*ii, .276908-.283949*ii, .249545+.255586*ii, .185716+.390223*ii, .140703-.296096*ii
50.0099-242.354*ii, -571.025-155.468*ii, 50.0131-242.369*ii, 5.8524+289.681*ii, -.00163038+.000443891*ii, -2.31878+8.51671*ii, 624.124+316.495*ii, 4.27204-8.42442*ii, 10.6669+.52754*ii, 137.024+449.139*ii, -35.370+715.19*ii, 6.6988-2.04368*ii
.737137+.645516*ii, -.0908155+.0250799*ii, -.4885+1.67381*ii, -4.42565-3.06493*ii, -10.2311-2.82544*ii, -.152732+.105777*ii, .0904176+.010309*ii, -.174986+.0396345*ii, -.0240192-.19054*ii, -4.36727+.090638*ii, .0203853-.0952338*ii, -8.0706+3.01038*ii
6.80196-7.67519*ii, 1.66616+6.91023*ii, -6.80178+7.67498*ii, 2.4384-10.1084*ii, .0329754-.136762*ii, .0433539-.0104309*ii, 1.8795+1.0533*ii, .0017398+.00092318*ii, -.0046981-.0657631*ii, -3.47254-.805218*ii, 10.4829-.75403*ii, -.00506185+.0217812*ii
2.95549+7.24038*ii, 16.5672-9.57605*ii, 2.95541+7.24019*ii, 3.35179+1.93728*ii, .0452442+.0261517*ii, -18.5328+40.3127*ii, 33.5114+10.8275*ii, .00314699+.00243888*ii, 1.39919e-16-4.55885e-15*ii, -1.4483-13.3268*ii, 2.16073e-15+5.42618e-16*ii, 20.5892+23.2847*ii
-.111879-.235341*ii, .269793+.0019510*ii, 1.09696-.461228*ii, .791873-.040331*ii, 3.70635-.026802*ii, 1.25976+.064161*ii, .0629091+.151799*ii, -.262815-.721726*ii, -.298437-1.15236*ii, .506234-.534917*ii, -.0745291-.243459*ii, 2.47366-2.39521*ii
2.25051+1.34583*ii, -.30098+1.43638*ii, -3.17886+.649819*ii, -.34496-.382057*ii, -.139745-.66691*ii, -3.68828-5.10392*ii, -2.4352+.746377*ii, -3.28225-.770269*ii, 5.89863e-16-1.98184e-16*ii, .808911+.486788*ii, 7.90238e-17+3.72111e-16*ii, -3.88107+1.16061*ii
-.223238+.0854197*ii, -.173261+.499435*ii, 1.01247+.347842*ii, -.209097+.368807*ii, -.619995-1.78718*ii, -1.16352-2.05221*ii, -.217481-.17934*ii, -1.24164+.200524*ii, -.045527-1.35055*ii, .201012+.366275*ii, -.220567+.207466*ii, -1.81991-.405401*ii
-.269817+.399713*ii, -1.13698+.920909*ii, -.385067+.413153*ii, .1956-.926702*ii, -.531101-.430173*ii, .218292+1.03333*ii, -.235894-.0957794*ii, -.139041+.12011*ii, .729534-.477199*ii, .198651-1.14749*ii, 1.0487+.598968*ii, -.672227-.50471*ii
-7.09753-6.64449*ii, 7.19674-1.20335*ii, 7.09734+6.64431*ii, -10-1.66894*ii, .135173+.0226019*ii, -.00764212-.0453112*ii, -2.2961-1.20828*ii, -.0015848-.00105847*ii, -.0625893+.0132928*ii, -.780602+1.57561*ii, -2.09676-9.9416*ii, .00992946+.00490189*ii
.735074-.017207*ii, .630836+.105166*ii, 1.30101-.237816*ii, -.061306+1.02797*ii, 1.54233-.257121*ii, .057801+.96954*ii, .029584+.355771*ii, -.516603+.164175*ii, -.67192-1.32522*ii, .135509-.991989*ii, -.949263+.23685*ii, 1.51449-.135105*ii
.487683+.457902*ii, -.269315-.31846*ii, .828787+1.64049*ii, .876+.276412*ii, -1.54826+1.83079*ii, -1.03836+.327656*ii, -.32815-.15781*ii, -.710626+.631128*ii, 1.19524-.915918*ii, -.537911+.580295*ii, .500377+.286911*ii, .855435+1.88026*ii
-.276868-.0704718*ii, -.351095-.205645*ii, .323305+.267104*ii, -1.75875-.671089*ii, -2.12068+1.24214*ii, -.172087+1.99926*ii, -.0753796+.0087301*ii, .0527145-.0838819*ii, -5.91503e-18-5.3915e-17*ii, -.224437-.218555*ii, -9.99433e-17+8.37168e-17*ii, -.497893+1.46253*ii
-.0336783-.00805238*ii, .182028-.560451*ii, .256428-.0111745*ii, -.230614+.0071322*ii, .524215+1.61402*ii, 1.01435+1.60501*ii, -.0724084-.0196977*ii, -.009666-.551831*ii, -6.10502e-17+1.9150e-18*ii, -.317292-.470424*ii, 6.48454e-17+9.08999e-17*ii, 1.8192+.182074*ii
7.48856+2.61215*ii, -1.00497-6.19533*ii, -6.74333-2.87724*ii, .168926-.322076*ii, -.025512+.157273*ii, -1.2776-2.43382*ii, 1.60266+10.7833*ii, -2.16237-4.25624*ii, -1.14947+3.36719*ii, -5.7775+2.16625*ii, -4.92656+6.45975*ii, -2.09903+1.70195*ii
-.425964+.202174*ii, .456582+.652792*ii, -.124008-1.22439*ii, .138655-.433288*ii, .719474-1.02866*ii, -.670031-2.09386*ii, .354309+.378157*ii, -.624776-1.28612*ii, -1.1283-.648589*ii, .522031+.21155*ii, .460106+.103405*ii, -1.20315-.98426*ii
-1.04978-.724175*ii, -.085315-.509991*ii, -3.21602-1.18662*ii, -.688895-.336092*ii, -.319089+1.90744*ii, 1.17273-.572127*ii, -.822562-.124297*ii, -.289068-2.0789*ii, -.652904+2.933*ii, -.0409472+.0774029*ii, 1.04084+.578343*ii, -.216637-.0435655*ii
-.327516-.0564506*ii, -.325979-.182635*ii, .368856+.299844*ii, -1.93769-.584599*ii, -2.3348+1.30811*ii, -.202643+2.14179*ii, .0814875-.0100203*ii, .0652385-.0867702*ii, 9.23418e-17+4.41574e-17*ii, -.231286-.209757*ii, -7.71136e-17+1.40666e-16*ii, -.56596+1.70632*ii
.18619-.702256*ii, 1.43493+.173066*ii, -.580358+.836428*ii, .388792+.449273*ii, .686908-.082848*ii, -1.10149+1.27303*ii, .344361+.505194*ii, -.711967+.003585*ii, -.346418+.338858*ii, .031143-1.34414*ii, .407497+.0839539*ii, 1.27777+.905315*ii
101.034-5.7098*ii, -42.5519+59.3823*ii, -101.04+5.7102*ii, 90.7114-59.548*ii, -.00797311-.0111267*ii, .885707+.634672*ii, 29.8317+18.9241*ii, .255447-.402686*ii, 1.03734-1.3499*ii, -18.8965-17.8444*ii, 90.5045+69.549*ii, -.266153+.281847*ii
7.72518+6.25996*ii, -6.55357+1.2444*ii, -7.72497-6.2598*ii, 10.9131+2.07534*ii, -.147278-.0279655*ii, .00784546+.0416031*ii, -.362611+4.73921*ii, -.00155281-.000831152*ii, .0739975-.0092067*ii, -1.03563-3.25563*ii, 1.46531+11.6575*ii, -.0206706+.0065468*ii
-4.77426-2.14249*ii, 7.2534-4.41532*ii, 4.77414+2.14243*ii, 7.45306+4.53792*ii, .100592+.061233*ii, -5.32541-6.15523*ii, 1.63288+3.98037*ii, -.00117126+.000148009*ii, 3.28246e-16-6.10865e-16*ii, -2.60565+4.05761*ii, 5.19366e-16+6.96717e-16*ii, 4.24926+1.8187*ii
-.113429-1.55161*ii, -.618343-.412588*ii, -.626469-1.57933*ii, -.344366+1.59097*ii, -1.11902+.746662*ii, -.129883-.600531*ii, -.458435+.134849*ii, -.349672-.183504*ii, -1.40436+1.0439*ii, .317627+.761003*ii, -.341858+2.08927*ii, -.24901+.634478*ii
-3.42942-2.76322*ii, -.327922+.49911*ii, 4.5348-.67176*ii, 1.11785+.761967*ii, -.919467-1.39946*ii, .610874-.416349*ii, 1.62247+.129996*ii, 1.79499+.914514*ii, -.638368-2.0991*ii, .367069+1.48374*ii, 1.12338+1.3709*ii, .280385-1.87119*ii
56.2959-238.962*ii, -524.749-146.659*ii, 56.2996-238.978*ii, -24.6183+285.073*ii, -.0017676+.000494017*ii, 2.18738-7.82651*ii, 559.73+308.62*ii, 4.16574-7.55522*ii, -9.93418-.93349*ii, 122.836+425.449*ii, -62.588+666.063*ii, -6.34547+1.83207*ii
-3.51136+6.53003*ii, -.355513+.422652*ii, -.946594-4.19229*ii, 1.37405+1.16571*ii, -1.16552-1.38563*ii, .323279+.197795*ii, -.429185-2.01195*ii, -.087251-2.06511*ii, 3.09999e-16-3.14703e-16*ii, 1.66656-3.41225*ii, 3.94517e-17-2.91841e-16*ii, -2.48633-.780227*ii
.152337+.179816*ii, .342128+.129527*ii, -1.28008-1.18623*ii, -.088213-.361838*ii, 2.55646-.967859*ii, .636064-2.60904*ii, -.282971+.141515*ii, -1.28519-1.934*ii, -.956117+.153544*ii, .304496-.0206142*ii, -.0048062-.131828*ii, -.423964-2.19989*ii
