variable ordering: Fc, Fg, w, m1, m2, d1, d2, p
.605281-2.82345*ii, .605281-2.82345*ii, -.215093+.538622*ii, 1.63659-.789418*ii, 2.18516+3.43036*ii, -3.03184-1.3467*ii, 2.11027+.039027*ii, .653419+1.61197*ii
-.33276+.204851*ii, -.33276+.204851*ii, -1.77656-.113638*ii, 2.59078-.036538*ii, -.033709+.215562*ii, .669932-.890644*ii, .418821+.379437*ii, .562784-.037202*ii
.606767+.287839*ii, .606767+.287839*ii, 1.5325-.246784*ii, -.706071+.170251*ii, -.243885-.0442332*ii, .437207+.747063*ii, -.938851-.618937*ii, -.635417-.097121*ii
.308817-.0644061*ii, .308817-.0644061*ii, -.0949193+.183931*ii, -.911463+2.87931*ii, -4.26563+1.51431*ii, 3.92241-3.05371*ii, 1.11304-1.18645*ii, 2.22331+4.30974*ii
1.06822+1.03561*ii, 1.06822+1.03561*ii, .954045+.163987*ii, -.623904+.084694*ii, -1.79239-.294002*ii, 1.66021-.087439*ii, -.843167-.230517*ii, -1.02764+.173583*ii
.238501+.0085232*ii, .238501+.0085232*ii, 1.10258+1.33232*ii, -.799428-1.3523*ii, .0541489-.0294416*ii, -.279986+.601222*ii, .43855-1.21812*ii, -.366366+.443567*ii
-2.22183-1.07565*ii, -2.22183-1.07565*ii, -.505958+.418156*ii, .473469-.997993*ii, 2.36474-1.24322*ii, -.516498+2.13743*ii, 1.45462-1.5758*ii, 1.16866+.984585*ii
1.14046+.437488*ii, 1.14046+.437488*ii, -.279136-.590891*ii, 2.70069+.905559*ii, -.262256+2.27007*ii, -.438229-2.21977*ii, -1.13407+.529569*ii, .659821-1.38763*ii
.302809+.27311*ii, .302809+.27311*ii, .328771-.535675*ii, 1.14474-.480438*ii, 1.04202-.185351*ii, -.467487+.906355*ii, -.957566+.18518*ii, -.83599-1.35846*ii
-1.03474+.373738*ii, -1.03474+.373738*ii, .86497-.127724*ii, -.352402+.575425*ii, .195412-.797471*ii, .889283+1.07954*ii, -.507415-1.67767*ii, 1.12652+.177108*ii
.475555-.0818146*ii, .475555-.0818146*ii, .342285+.0202208*ii, 2.007+1.83484*ii, -.530331+3.44002*ii, -.606702-3.22122*ii, -.503703-1.0662*ii, 2.92205-.171906*ii
1.36157-.550491*ii, 1.36157-.550491*ii, -.280409+.872937*ii, 2.4058-1.44391*ii, 1.07882+2.51973*ii, -2.36334-1.63263*ii, .360579+.525581*ii, -.334982-1.04502*ii
.201904-.0215375*ii, .201904-.0215375*ii, -.146793-.295008*ii, -1.24912+.321487*ii, -1.99541-1.50335*ii, 3.12232+.857931*ii, .737551+.127738*ii, -1.35759+2.72783*ii
.203706+.266136*ii, .203706+.266136*ii, -1.65054+.80366*ii, 2.28012-1.44884*ii, .0346057+.0937233*ii, .071673-.686688*ii, .817769+.567479*ii, -.491076-.236868*ii
-1.62773-1.08412*ii, -1.62773-1.08412*ii, .632324-.353243*ii, -.0375227+.101503*ii, 2.16232-.48875*ii, -.614313+1.92317*ii, .429009-1.62597*ii, 1.24283+.683499*ii
-.019951+.607163*ii, -.019951+.607163*ii, -.058479+1.60508*ii, .779654-1.80711*ii, .216176-.108918*ii, -.443488+.0009753*ii, .402654-.8856*ii, -.024212-.622211*ii
-.15227-.262237*ii, -.15227-.262237*ii, -.064353-1.54059*ii, .678725+1.35509*ii, -.0207106-.222727*ii, 1.29479+.54054*ii, -.535642+.19544*ii, -.025685+.651989*ii
-12.0439-2.58974*ii, -12.0439-2.58974*ii, -.282139+.178079*ii, 1.18678e-14+1.77966e-14*ii, 10.3191-5.89486*ii, -2.62786+8.93392*ii, 2.62786-8.93392*ii, 9.9188+.63083*ii
-12.0867-2.59659*ii, -12.0867-2.59659*ii, -.28165+.177738*ii, -.00007596-.0000254125*ii, 10.3584-5.91633*ii, -2.64141+8.96648*ii, 2.6328-8.9647*ii, 9.95404+.62531*ii
-.163543+1.88676*ii, -.163543+1.88676*ii, .757326+.029939*ii, .0000235279-.0000791894*ii, -.869822-1.53406*ii, 1.61226+.929009*ii, -1.61935-.934167*ii, -.194237-1.3772*ii
-.177158+1.90518*ii, -.177158+1.90518*ii, .753393+.030016*ii, -2.42927e-16+4.33218e-16*ii, -.874626-1.55974*ii, 1.62947+.941947*ii, -1.62947-.941947*ii, -.18974-1.39024*ii
-.105226-.0646011*ii, -.105226-.0646011*ii, .681793-.112058*ii, .0000183532+.00000543814*ii, .319372-.123626*ii, .238934+.708751*ii, -.241198-.715677*ii, .0194512+.197429*ii
-2.63283-5.34247*ii, -2.63283-5.34247*ii, .290459-.398196*ii, -.0000693255+.000031206*ii, 5.43878+1.989*ii, -3.72641+2.0275*ii, 3.71928-2.0227*ii, 2.74187+4.08582*ii
-.107885-.061274*ii, -.107885-.061274*ii, .680093-.114683*ii, -8.00258e-17-1.67194e-17*ii, .319309-.131746*ii, .243861+.714649*ii, -.243861-.714649*ii, .0167409+.194851*ii
-2.59996-5.37723*ii, -2.59996-5.37723*ii, .288542-.399163*ii, -2.18634e-15+1.14605e-15*ii, 5.43293+2.03538*ii, -3.74476+1.99667*ii, 3.74476-1.99667*ii, 2.72207+4.12288*ii
.659983-.512138*ii, .659983-.512138*ii, -.168094-3.25259*ii, .326849-.426783*ii, .116473-.0189321*ii, .885415-.314372*ii, -.615863+.257139*ii, .0154397-.311752*ii
.259386+3.07331*ii, .259386+3.07331*ii, .411186+1.02356*ii, 5.3978-1.31237*ii, -3.71943-7.3253*ii, -1.30718-3.94247*ii, .126145+.281573*ii, -.339701+.845721*ii
-.733937+.402453*ii, -.733937+.402453*ii, -2.15418+.78991*ii, .0484107+.315637*ii, .068112+.0421371*ii, 1.69785-.62843*ii, -1.86301+.685683*ii, -.387482-.142607*ii
.149769+.386367*ii, .149769+.386367*ii, .258179-.118758*ii, .0000311704-.0000177658*ii, -1.78541-1.44456*ii, .410137+2.18264*ii, -.417136-2.19488*ii, -2.19192+1.95378*ii
.45807+.170308*ii, .45807+.170308*ii, -.039496+1.124*ii, -.977233+.536093*ii, -.432356-.308105*ii, .40494+.107227*ii, .687636-.238175*ii, .030661+.89016*ii
.739294-.978633*ii, .739294-.978633*ii, 1.02569-.227671*ii, .180685+.790158*ii, -.361927-.723395*ii, .694413-1.28749*ii, .031683+1.37324*ii, .934491+.198484*ii
-.184287-1.03872*ii, -.184287-1.03872*ii, .989699-.703213*ii, 5.40968e-7+3.08661e-8*ii, -.184321-.479955*ii, -.199521-1.37764*ii, .200034+1.3776*ii, -4.18637+.793834*ii
.621953+3.14052*ii, .621953+3.14052*ii, .422044+.418148*ii, 4.52478e-15+4.20529e-15*ii, -1.14486-2.07666*ii, 1.1945-3.63366*ii, -1.1945+3.63366*ii, -5.31406-2.43191*ii
.230423-.686049*ii, .230423-.686049*ii, 4.33093+1.54082*ii, .295586+2.33376*ii, .066045+1.35319*ii, 1.09579-1.81194*ii, -.0240681+.0077313*ii, -.205979+.0732725*ii
-.488421-.653019*ii, -.488421-.653019*ii, -.380127-.31925*ii, .042131+1.80011*ii, -1.96325-.399487*ii, .633725+1.86272*ii, 1.29544-1.02479*ii, 1.55185-1.29434*ii
.0397187-.0994986*ii, .0397187-.0994986*ii, 1.56801+3.46818*ii, .040106-1.35665*ii, -1.15096+1.68977*ii, -3.1295-4.01784*ii, .00292041+.00213411*ii, -.108771+.240584*ii
4.40871-1.76234*ii, 4.40871-1.76234*ii, .0185048+.317469*ii, 6.9323e-16-1.14485e-14*ii, 5.24655+4.64745*ii, 3.68233-5.59552*ii, -3.68233+5.59552*ii, -.465608-.844694*ii
-.177584-.101584*ii, -.177584-.101584*ii, .444538-.0520005*ii, .0547131+.13698*ii, 1.60687+1.97268*ii, -.553992+.909686*ii, -.39777+.053924*ii, 2.22778+.258591*ii
-1.63776-18.3068*ii, -1.63776-18.3068*ii, .857517+.445127*ii, -1.58312e-7-1.09425e-7*ii, -6.18188+3.21783*ii, -1.51703-2.3831*ii, 1.5172+2.38331*ii, -4.29796-9.55952*ii
-.883398+.199269*ii, -.883398+.199269*ii, -1.85581-1.52537*ii, -4.66813-3.8932*ii, -.10105+.304079*ii, -.703447-1.27933*ii, .460411-.166944*ii, .322653-.266075*ii
.526667-1.91405*ii, .526667-1.91405*ii, -2.17288-.617179*ii, -.239982+.180663*ii, .177077+.156423*ii, 1.27282+1.02367*ii, -1.39321-.877878*ii, .420844-.139208*ii
2.97928-6.90396*ii, 2.97928-6.90396*ii, 1.20458+15.3837*ii, -6.33644-1.15207*ii, .00508338-.00705087*ii, 3.60929-.136813*ii, -3.62631+.221401*ii, -.0084637-.0638815*ii
4.29596+1.56089*ii, 4.29596+1.56089*ii, -.902289+1.74735*ii, 5.12272+2.04742*ii, 1.14594-.778864*ii, -.388927+.353923*ii, -.852961+.006709*ii, -.23413-.45243*ii
-1.58788-.977198*ii, -1.58788-.977198*ii, .303995-.571299*ii, -.00000157512-.00000162159*ii, -.548074-3.92151*ii, -.320422-1.07675*ii, .318791+1.07821*ii, 1.37459-3.06914*ii
-1.04536+1.25584*ii, -1.04536+1.25584*ii, -6.8055+.362331*ii, -3.85577e-7-.0000011842*ii, -.0201581-.0103694*ii, -.49635+1.47048*ii, .496223-1.47045*ii, 1.4439-.666481*ii
-1.52799+.393382*ii, -1.52799+.393382*ii, -1.32969+2.15262*ii, -2.21269e-20+6.04278e-19*ii, 2.8669-.104978*ii, -.0211497+.0832669*ii, .0211497-.0832669*ii, .930715-1.56505*ii
-.660326+1.23694*ii, -.660326+1.23694*ii, -1.63532-.718407*ii, .047085-1.28325*ii, .611164-.086108*ii, .0801519+.020713*ii, .139745+.698234*ii, .51262-.225482*ii
-.0322097+.188139*ii, -.0322097+.188139*ii, 13.4675-9.56049*ii, -14.7983+19.013*ii, -1.0698+1.27552*ii, -2.74555-14.2339*ii, .000319771+.000272811*ii, .0496157+.0352217*ii
-.330975-1.13504*ii, -.330975-1.13504*ii, -5.04553+.319843*ii, -.000180592+.00010355*ii, .0121399+.0126361*ii, 2.16481+1.50934*ii, -2.16635-1.50849*ii, -.454751+.599071*ii
1.00737+.594227*ii, 1.00737+.594227*ii, -1.39765-.509383*ii, 8.06418e-18-1.22775e-17*ii, -.518671-.789664*ii, .225611-.511911*ii, -.225611+.511911*ii, 1.08649-.802662*ii
-.393635-1.23606*ii, -.393635-1.23606*ii, -.291051+.352197*ii, .000147646-.00020729*ii, -2.0884-.639663*ii, 2.59055-1.13271*ii, -2.60245+1.14965*ii, 1.85653-.026155*ii
-.219956-.624358*ii, -.219956-.624358*ii, -.748244-1.04688*ii, -.399999+.772942*ii, .543035-.532179*ii, .502323+1.0557*ii, -.5228-.056095*ii, -.452589+.636672*ii
-12.6091-.44501*ii, -12.6091-.44501*ii, -5.5361+.40695*ii, 5.81844+3.10513*ii, 1.72317+8.76462*ii, 1.73049-1.35891*ii, -.0168391+.0426342*ii, .180566+.0132634*ii
-.088374+.760397*ii, -.088374+.760397*ii, 1.20302+1.8246*ii, -.131738+.601509*ii, 3.35898+.665715*ii, 1.60016+.266189*ii, .0414074-.0218172*ii, .253114-.383824*ii
.327261+.930639*ii, .327261+.930639*ii, -1.0074-.261101*ii, -.665542+.179531*ii, -1.4261+1.45671*ii, .513845-.641196*ii, -.0220354-.446278*ii, -.933441+.241095*ii
-2.92387+.022982*ii, -2.92387+.022982*ii, .0726256+.0573879*ii, -16.3745-24.3562*ii, 23.3938-40.195*ii, -14.5902-1.56474*ii, -7.0068+2.17981*ii, 8.50774-6.7165*ii
-.758035-.020606*ii, -.758035-.020606*ii, -.346015+.512533*ii, .054622+1.80424*ii, -1.04712-.99482*ii, .309993+.392198*ii, .47008+1.28993*ii, -.906401-1.34171*ii
-1.78339-2.58096*ii, -1.78339-2.58096*ii, .250783+.201239*ii, .0000369896-.0000308955*ii, 7.29799-1.11918*ii, 3.98918-.960032*ii, -3.99757+.953471*ii, -5.34481-1.79703*ii
-.883795-.394291*ii, -.883795-.394291*ii, -1.68677+.568966*ii, .132502-.0851917*ii, -.200208+.135125*ii, -.02158-1.11768*ii, -.117648+1.25886*ii, -.518263-.186894*ii
-.0922972-.206522*ii, -.0922972-.206522*ii, -.176087-.572434*ii, -2.84877+.129684*ii, .166237-.23239*ii, 1.08649+.718639*ii, -1.99284+.948866*ii, .485668-1.59805*ii
6.18446+1.63646*ii, 6.18446+1.63646*ii, 4.54885+1.50926*ii, -4.89012-6.87092*ii, 8.13145+3.05719*ii, -1.72447+2.94728*ii, .0236391-.0216568*ii, .199023-.0660304*ii
-.396799+.901461*ii, -.396799+.901461*ii, -1.00233+1.35788*ii, .025273+1.12327*ii, -.0457885+.327944*ii, 1.06222-.51118*ii, -.56786+.876333*ii, .357434+.475886*ii
-.616751+3.76417*ii, -.616751+3.76417*ii, .483545-.258232*ii, -.699713+2.67976*ii, 1.62555+1.45986*ii, 1.17077-5.82914*ii, -2.32471+5.32434*ii, -1.598-.900376*ii
.691657-1.72911*ii, .691657-1.72911*ii, -.763675-.140565*ii, -5.62844e-16+7.49487e-17*ii, -.206469+1.55052*ii, 1.96131-.228385*ii, -1.96131+.228385*ii, 1.76063+4.70908*ii
-.0356008-.0249511*ii, -.0356008-.0249511*ii, .457561+.281951*ii, -.005709+.680427*ii, .391514-.591025*ii, .157335-3.23059*ii, -.187059-.100385*ii, -1.59189+.980323*ii
2.03288+.735698*ii, 2.03288+.735698*ii, 2.16504+2.39967*ii, .037134+2.61895*ii, -3.25129-.739461*ii, -1.3187+1.45361*ii, -.00129675+.0620572*ii, -.208286+.230813*ii
-.206416-.412177*ii, -.206416-.412177*ii, .34297+.883834*ii, -.50155+.271388*ii, .050875-.994081*ii, .491505+1.22453*ii, -.502286-.114911*ii, -.381466+.98955*ii
.68169+2.7527*ii, .68169+2.7527*ii, 4.5921+1.43064*ii, -2.40634e-13+1.20524e-13*ii, -.0295178-.00002032*ii, 3.11303+2.74869*ii, -3.11303-2.74869*ii, 1.46995-3.2036*ii
-2.68358-.911389*ii, -2.68358-.911389*ii, -.067165-1.71882*ii, -3.99188e-18+7.76786e-18*ii, -1.4526-2.82664*ii, .232337-.191985*ii, -.232337+.191985*ii, -2.8206-.107147*ii
.191601+.236171*ii, .191601+.236171*ii, .338642-.862536*ii, 2.48959e-19-3.49255e-19*ii, 1.64672-1.17383*ii, .126918+.120691*ii, -.126918-.120691*ii, -1.01388-2.07499*ii
.505479-1.02379*ii, .505479-1.02379*ii, .362589-.616591*ii, .16812+1.11693*ii, 1.58085-1.78178*ii, -.796563-2.05728*ii, -.223165+.90987*ii, -.71039-1.21485*ii
-.594283+.086026*ii, -.594283+.086026*ii, -.02238+.275112*ii, .00000669414-.0000236614*ii, 1.70567+4.78274*ii, -.056045+1.53673*ii, .056599-1.55114*ii, .852087-.085509*ii
-.595007+1.33204*ii, -.595007+1.33204*ii, -1.21655-1.044*ii, -3.12975e-15-5.82917e-15*ii, .236546+.127004*ii, -2.10766-.168387*ii, 2.10766+.168387*ii, -.754012-4.33563*ii
1.42633+.368784*ii, 1.42633+.368784*ii, 2.73632-2.75684*ii, .016149+.811618*ii, -.0349151-.0415252*ii, .879905+1.55476*ii, -1.03278-1.474*ii, -.190674-.173415*ii
.315343+.438375*ii, .315343+.438375*ii, .353471-.739579*ii, -1.49277e-17-1.59407e-17*ii, -.927667-.868718*ii, -.484853+.405963*ii, .484853-.405963*ii, .150386-.0328633*ii
-.43647-1.11063*ii, -.43647-1.11063*ii, .0167414-.252849*ii, -3.09057-7.53789*ii, 2.51195-8.75662*ii, 7.70513-6.23515*ii, -1.44156+1.44341*ii, .262999+3.96204*ii
-.294361-.0947977*ii, -.294361-.0947977*ii, -.323035-.02866*ii, -.001301+2.63299*ii, -.948144-.877915*ii, -3.64481-1.48902*ii, 1.86204-1.30802*ii, -3.08527+.284181*ii
-.223185-.370833*ii, -.223185-.370833*ii, -.242172+.158838*ii, -.0000035939-.000117898*ii, .765125+1.41456*ii, 1.39751+2.86618*ii, -1.41219-2.88109*ii, -2.33347+1.49526*ii
-.09073+.625212*ii, -.09073+.625212*ii, 1.29213-.73966*ii, -.51436+1.02656*ii, -.200759-.321908*ii, .385891+.0877782*ii, .127653-.740302*ii, -.582788-.335255*ii
2.30062+3.15503*ii, 2.30062+3.15503*ii, -1.78749+3.2773*ii, -.379658+1.93977*ii, -.306455+.118064*ii, -.72048-.657339*ii, .812557+.260146*ii, -.131429-.235227*ii
-.649903-.437955*ii, -.649903-.437955*ii, .773548-2.6843*ii, -.026270+1.53843*ii, .0595438+.0220273*ii, -1.27974+.225601*ii, 1.50026-.50132*ii, .101965+.338051*ii
6.87525-.356714*ii, 6.87525-.356714*ii, .397156-.120258*ii, -2.04343-.018508*ii, -6.58003+6.34205*ii, -.38862+4.78858*ii, -1.15681-4.21912*ii, -2.32969-.672636*ii
-1.47133-.596644*ii, -1.47133-.596644*ii, .842623-1.49892*ii, .946891+.665852*ii, .453517+.211388*ii, -.313576+.373007*ii, .510377-.944037*ii, .284647+.504642*ii
-1.89908+2.40098*ii, -1.89908+2.40098*ii, .502736+1.06708*ii, -3.4857-.069408*ii, -.671794+1.75352*ii, .235511-.36269*ii, -.442062-1.08504*ii, .36245-.767406*ii
.067712-.654387*ii, .067712-.654387*ii, .253315+.971034*ii, 2.07347e-17+3.76914e-18*ii, .883443+1.17802*ii, -.136966-.421974*ii, .136966+.421974*ii, -.677278-.075877*ii
-.418817-2.56504*ii, -.418817-2.56504*ii, -.337074+2.89763*ii, 3.10242-3.67445*ii, -.186962-.113198*ii, .715225+1.31139*ii, -1.12672-.826532*ii, .0434564+.341514*ii
-1.87652-1.1569*ii, -1.87652-1.1569*ii, .946072-.035918*ii, -9.94259e-18+7.09753e-18*ii, 2.64017-3.69848*ii, -.004550+.541209*ii, .004550-.541209*ii, 3.73778+1.81713*ii
-.515223-.509665*ii, -.515223-.509665*ii, 1.1641+.867305*ii, 1.98879-2.01765*ii, .212605+.268287*ii, .550785+.101886*ii, -.169427+.990241*ii, .552202-.4132*ii
-.184309+.226054*ii, -.184309+.226054*ii, -.475842+1.24752*ii, -1.2759e-16-4.9276e-18*ii, -.215116+.062692*ii, .172719-.709455*ii, -.172719+.709455*ii, -.0017745+.39143*ii
.120438-.408118*ii, .120438-.408118*ii, 1.27956+.49047*ii, -.048573+1.75752*ii, 1.84509+1.20132*ii, -.389448+3.03182*ii, -.08782-.053667*ii, .684768-.262601*ii
-1.31214-.004984*ii, -1.31214-.004984*ii, -.809952+1.07155*ii, -9.38632e-19+2.02467e-18*ii, 1.30776+2.8209*ii, .176736+.153207*ii, -.176736-.153207*ii, -1.02443+1.64955*ii
-8.76981-1.9403*ii, -8.76981-1.9403*ii, -.403869+.0526031*ii, 2.48445-8.29896*ii, 10.249+2.48242*ii, 6.86755+3.79319*ii, -4.98864-1.21627*ii, -2.46312-.308216*ii
-.639825-.052737*ii, -.639825-.052737*ii, -.317377-.32248*ii, .0000547586+.0000535758*ii, -1.20368-1.01722*ii, 1.17041+1.59279*ii, -1.18092-1.60159*ii, .664667+1.43855*ii

component_3:
equations:
Fg*d1^2+2*Fg*d1*d2+Fg*d2^2-m1*m2
-w^2*m2*d2+Fc
Fc-Fg
-1.02*m2*d1^2*d2-2.03*m2*d1*d2^2-1.01*m2*d2^3+1.01*m1*m2*p^2
points:
-1.26185e-25+1.29903e-25*ii, -1.26174e-25+1.29815e-25*ii, .511765+.384843*ii, -.0129854-.344796*ii, 9.017e-26+5.31932e-25*ii, .27132+.34568*ii, .111053-.778307*ii, .0344741+.413043*ii
-4.84943e-32-2.17201e-33*ii, -1.50118e-32-6.54455e-33*ii, 1.49747-1.53746*ii, .0216023+.0886845*ii, -1.3733e-34+7.7566e-33*ii, -.340746+.964191*ii, -.542182-.125196*ii, .592043-.370357*ii
2.50777e-31-6.8501e-31*ii, 2.75679e-31+1.26739e-31*ii, 2.17781+.233426*ii, -.050236+1.60344*ii, -8.08584e-33+1.87767e-32*ii, 2.40171-1.60487*ii, -2.53891+3.19846*ii, -1.49635-.706264*ii
3.4212e-32+8.34813e-31*ii, -4.61695e-32-5.9554e-33*ii, -2.02939+.339172*ii, -4.13672-.451307*ii, 3.59771e-34+5.4347e-35*ii, 1.46918-4.47142*ii, -1.77577-.114261*ii, -.36951+16.0264*ii
2.75795e-29+1.78011e-29*ii, -1.67018e-33-1.12054e-32*ii, 14.4577+14.0131*ii, 6.82305-8.74616*ii, 5.80416e-36+8.94996e-35*ii, 11.8963+14.2588*ii, 43.5665+8.53663*ii, -36.6551+.43528*ii
6.26788e-32+1.04716e-32*ii, -6.46024e-32+1.83064e-32*ii, .766086+.371444*ii, .621507+.398511*ii, 1.62556e-32-3.86565e-32*ii, .638299+.622496*ii, .157927+.481174*ii, .857388-.537327*ii
-6.84228e-49-4.10537e-48*ii, 5.13171e-49+7.69756e-49*ii, -1.07749+.361345*ii, -.665942-1.01199*ii, -9.35468e-50+3.20732e-50*ii, -3.57527+.408043*ii, -1.14084+2.34057*ii, .154208-2.2859*ii
1.59847e-32+1.9301e-31*ii, 2.00551e-32-6.59682e-33*ii, -.488956+.0452257*ii, -.997566+.334589*ii, -2.04128e-33-1.40102e-33*ii, 2.28905+.478961*ii, .759121+.980008*ii, -.73425+1.01544*ii
-4.41818e-90-3.92727e-90*ii, -9.81819e-91*ii, -.891445+1.06395*ii, -1.52927-.755229*ii, 1.91761e-92+2.45455e-91*ii, -1.10603+1.26536*ii, -1.28226-1.86159*ii, 1.05159-.214662*ii
-1.13889e-31-4.23877e-31*ii, -4.26699e-32-2.57689e-33*ii, -1.59473+.670859*ii, -.214302+1.17265*ii, 7.21745e-33+1.25114e-32*ii, 3.09571+.068367*ii, .395947-.473778*ii, -1.7857-.920028*ii
1.00323e-31-7.85878e-32*ii, 4.45662e-32-6.22837e-32*ii, -1.58759+1.94494*ii, -.359298-.794633*ii, 9.0004e-33-1.42281e-32*ii, -.505727-.57488*ii, -.221188+.814056*ii, .17975+.39594*ii
4.98437e-32-1.3135e-31*ii, -5.71201e-32-3.46792e-32*ii, -1.49203-.548608*ii, -1.25214-.527414*ii, -3.7888e-34-1.35275e-32*ii, -.413262-.0130466*ii, -1.88468-.221105*ii, .165893-.961279*ii
2.48921e-60-2.48921e-60*ii, -3.88938e-62+1.36128e-61*ii, .646414+.472099*ii, .74725+2.25059*ii, 9.72346e-63-3.2604e-62*ii, 1.40707-1.84405*ii, 3.50998-.020386*ii, .246233-4.12103*ii
-1.57886e-31-4.7775e-33*ii, 7.64029e-33+1.99769e-32*ii, .667137-.787773*ii, -.590565-.714809*ii, -9.35106e-34+2.65137e-33*ii, .049293-1.44185*ii, -2.96288+.776392*ii, -.220426-.233924*ii
-3.08295e-30+5.52061e-31*ii, -4.8325e-32-2.00787e-32*ii, -3.23289+1.307*ii, -7.814+3.20058*ii, 3.3125e-34+1.40304e-33*ii, -3.8567-2.91656*ii, 8.28384-4.09646*ii, -.317595+5.80748*ii
1.05642e-31-4.09816e-32*ii, -2.04899e-32-1.71446e-32*ii, .763463+.195314*ii, -.706876-1.97887*ii, -2.73073e-33+1.94449e-33*ii, -.242353-.767413*ii, -1.95506+.084507*ii, 2.37217-2.2844*ii
-2.32702e-31+2.86815e-31*ii, -5.61261e-32-5.0591e-34*ii, -.0779729-.157346*ii, 3.23244+.320172*ii, -1.18686e-34-1.47548e-34*ii, -.743532+.406641*ii, -.704703+1.77335*ii, 2.22791-1.9524*ii
1.04468e-31-2.93161e-31*ii, 5.7274e-32-2.59167e-32*ii, -.354439-1.19696*ii, -.552049+.730116*ii, 7.6265e-33-2.2077e-32*ii, 1.01676+1.8013*ii, -1.68019-.334045*ii, -.0862391-.122804*ii
-2.57652e-31+3.76843e-31*ii, -2.0783e-32+6.6765e-33*ii, .778158+.313712*ii, 1.20862-.574826*ii, 4.75761e-33+1.1468e-33*ii, .146055-2.82879*ii, 1.71134-.931429*ii, -.157416+.325602*ii
1.4813e-31+1.69408e-31*ii, -3.13198e-32+1.68822e-32*ii, .108087-.780926*ii, .511752-.629665*ii, 9.53165e-33+1.35092e-32*ii, .498956-1.29459*ii, -.758313-.972386*ii, 1.57466+.322017*ii
5.0562e-61-1.55575e-61*ii, 4.55787e-64-8.50803e-63*ii, -3.3176-1.1449*ii, .75708+1.51934*ii, 1.969e-61+2.91704e-62*ii, -2.94225-4.4201*ii, -.0032487+.234932*ii, -.586822+1.09148*ii
4.63086e-31+4.81481e-31*ii, 1.85761e-32-7.30792e-33*ii, .442843-.255592*ii, 1.92602-.147261*ii, 7.44665e-34-1.80526e-33*ii, -2.36458-2.73123*ii, -2.66228+2.50188*ii, 1.09196+2.23407*ii
-2.2067e-31-1.36962e-31*ii, 2.43364e-32+2.08075e-32*ii, -1.79058-.976689*ii, -1.21385-.870971*ii, 2.07731e-33+1.46963e-34*ii, 1.38637-.088561*ii, .690118+2.07176*ii, .162432-2.54038*ii
9.25939e-32-1.86676e-31*ii, 4.36196e-32-6.27338e-32*ii, 1.85892-1.04252*ii, -2.09426+.494098*ii, -4.18629e-33+3.72835e-33*ii, -.605505+.078742*ii, .613775-.103266*ii, 2.30519-1.14171*ii
-3.83168e-47-8.75812e-47*ii, -2.18953e-47-1.27002e-47*ii, .15402-.741297*ii, -.452971-.83287*ii, -3.28429e-47+4.24221e-47*ii, -1.52391-.847783*ii, -.395352+.16579*ii, -1.57317-.201362*ii
2.11182e-31-2.61425e-31*ii, 4.68805e-32+1.32693e-32*ii, .437803+.0969897*ii, .341643+.672446*ii, -4.49236e-33+1.23701e-32*ii, .153945+1.43711*ii, -1.05394+1.63456*ii, .423331-1.04239*ii
1.3555e-30+1.5587e-32*ii, 5.9677e-32-6.8266e-32*ii, 1.32672+.576721*ii, -1.57865-2.82933*ii, 7.45306e-33-1.83329e-33*ii, -1.27469+1.5*ii, -2.8137-.221361*ii, -2.91301-1.09584*ii
4.61995e-31+1.86525e-31*ii, 9.73975e-33-1.63013e-32*ii, 1.46297-1.09312*ii, .093769-.374992*ii, -2.1433e-35+3.04713e-33*ii, 1.22021-.085908*ii, 3.13579+.00387*ii, -.73+2.18007*ii
-1.95067e-32-8.78379e-32*ii, 7.17452e-33-4.49401e-32*ii, -1.42599-.95539*ii, -.506597-.525329*ii, -1.7233e-32+1.15326e-32*ii, -.121909+.236302*ii, .809514+.013104*ii, -1.09351-1.3357*ii
-7.31032e-32+5.25396e-32*ii, -1.8166e-32-4.3435e-32*ii, -1.63467+.649559*ii, -.387409+2.27017*ii, 3.9511e-34+8.27336e-34*ii, .518737+.695687*ii, -.249932+.682373*ii, 2.46412-3.98919*ii
-2.57571e-31-2.22918e-31*ii, -1.98924e-31-1.51602e-31*ii, .81708+.891986*ii, -.349147-.575706*ii, 8.03261e-33-2.74881e-33*ii, .41638-.572273*ii, .651843+.290618*ii, -2.1045-3.87774*ii
-6.03599e-31-4.87686e-31*ii, -2.80507e-32+2.37508e-32*ii, -1.79222+3.22213*ii, 2.20187-1.4246*ii, -9.88982e-33+6.086e-35*ii, -.73423-2.89073*ii, -2.81393+2.98419*ii, 1.00399+2.71386*ii
1.7513e-30+1.0055e-30*ii, 9.32537e-33-1.00694e-32*ii, 4.15871-1.44337*ii, -.681877-4.86216*ii, -6.01513e-34+1.32586e-33*ii, 8.43224-1.36039*ii, 3.45024+.422888*ii, -3.74147-.192822*ii
-8.5529e-49+2.3948e-47*ii, 3.12179e-48+6.84228e-49*ii, 2.01497-2.43996*ii, -2.65858+2.88499*ii, -4.2764e-50-8.55285e-49*ii, -.973442-1.26715*ii, 2.12143-2.22573*ii, -.983546+.139266*ii
