variable ordering: f1, f2, Eph1, Eph2, Eel1, Eel2, p1, p2, pel2, lambda1, lambda2, h, mel, c, cosTh
.502693+.867248*ii, .488217+.916335*ii, .0250213-.325305*ii, .25891+.3215*ii, .118789+.262445*ii, -.1151-.384359*ii, .716241-.103564*ii, .0696204+.278838*ii, .64164-.376424*ii, -.242199-.303651*ii, -.244168-.284608*ii, -.268249-.184339*ii, -1.74932-.742447*ii, .141589-.36269*ii, .976167-.014635*ii
.651299+1.44794*ii, .396604-.53972*ii, -1.11305-1.23677*ii, -.135529+.21677*ii, .656753+.666012*ii, -.320771-.787528*ii, 1.02424+.976544*ii, .228606-.123761*ii, .917738+.601589*ii, -.448395-.0715864*ii, .670681-.841884*ii, -.998006+.3198*ii, -.444616-1.74391*ii, -.188386-.695875*ii, -.157073+1.22527*ii
.307252-.296628*ii, .144342-.828855*ii, .0022317+.0918466*ii, .0653981+.111285*ii, .0465147-.243832*ii, -.0166517-.263271*ii, -1.56762+.329812*ii, .74589+.63688*ii, .133985+.427829*ii, .855542+.428775*ii, .22244+.431857*ii, -.145612+.158352*ii, 1.06081-1.04075*ii, .390054-.122035*ii, -.714116+.461522*ii
-.423397+.513765*ii, .155286+.323156*ii, .20553-.19413*ii, .0252086-.0124416*ii, .0338192-.130199*ii, .214141-.311887*ii, .265891+.734004*ii, -.17163-.0786554*ii, -.465815-.678687*ii, .348381-.557374*ii, 1.21099+.152228*ii, -.421367-.0527961*ii, -.55026+.436719*ii, .138856+.414976*ii, .670737-.73997*ii
-.411394+.263083*ii, -.171706+.29696*ii, -.0062646-.0680751*ii, .0029518-.24693*ii, -.0255208-.0714777*ii, -.0347372+.107377*ii, .187032+.766037*ii, -.338231+.236792*ii, -.229385-.101985*ii, .584157-.703344*ii, 1.19875-.506978*ii, -.0642974+.124357*ii, .212219+.316127*ii, -.0552807+.443033*ii, .537607-.634668*ii
-2.41077-14.4842*ii, -.0953743+.152281*ii, -18.7334-20.7947*ii, .50599-8.13806*ii, 7.24145+4.50262*ii, -11.998-8.15399*ii, .774491+.040718*ii, -4.58288+10.5196*ii, 15.2017+9.07244*ii, .0109719-.0438553*ii, 1.70369+3.27797*ii, 1.60644-1.02599*ii, 17.8559+7.46189*ii, -.661661-.053195*ii, -12.7332+21.301*ii
1.70262+1.57903*ii, .0556833+.0390359*ii, .704087+.543824*ii, .601712+.679813*ii, .0321608+.0334032*ii, .134536-.102586*ii, .532745-1.13266*ii, .175279+1.06518*ii, .473717+.988881*ii, -.0564093-.0394543*ii, -1.72524-1.59656*ii, .381567-.0344665*ii, -.606978-1.71017*ii, -.0337441-.156248*ii, -.659263-.493852*ii
.33954+.317791*ii, -2.02158+4.36393*ii, .389035+3.84299*ii, 1.43587-1.0827*ii, 3.88942-5.80712*ii, 2.84259-.881429*ii, -1.31571-5.30144*ii, 3.25887-.44659*ii, -4.9491+1.35859*ii, -2.89603-.042323*ii, -.0915801+.264671*ii, 6.25748+5.46155*ii, -3.11941-2.26044*ii, -.969868-.934702*ii, -.235065-1.25022*ii
2.75614+1.4412*ii, -2.03815-2.79478*ii, -1.97778+1.71489*ii, -.1146+.353246*ii, 1.91347-2.35934*ii, .050288-.99769*ii, 2.08993-1.80268*ii, -.992914-.203017*ii, .283538-.740285*ii, .137124+1.20733*ii, -.591401-.918655*ii, -.308013+.783271*ii, .011905+.21236*ii, -1.36207+3.52519*ii, -.980532+.826255*ii
.496018-.141594*ii, .755948+1.09859*ii, .00285435+.00353512*ii, .044104+.0168203*ii, .00383711-.0022762*ii, -.0374125-.0155614*ii, .0549766-.373853*ii, -.361976+.177811*ii, .360527-.734333*ii, -.0211457+.0938379*ii, .0317927+.0193297*ii, .00343974+.00810891*ii, -1.65274+.743146*ii, .00279826+.0495394*ii, 1.49654-.801265*ii
1.50377+.364457*ii, -.331844-.445249*ii, -.754944-.59162*ii, .120846+.595666*ii, .447757+.187021*ii, -.428034-1.00027*ii, 1.04073-.336551*ii, -.51172+.710082*ii, 1.71193-.039598*ii, .205553+.358756*ii, -1.07906-.403656*ii, -.564243-.256674*ii, -.679258-.971673*ii, .178352+.614401*ii, -.289481+1.30134*ii
3.33797-2.2185*ii, -.0391286+.224151*ii, 5.91056-3.70387*ii, .0050861-.0995236*ii, -1.03281+2.58585*ii, 4.87266-1.0185*ii, -3.63563+2.66002*ii, .848429-.3497*ii, 1.79708+5.55934*ii, .167098-.156225*ii, -4.02216-.240025*ii, 1.73971+.046635*ii, -.28076-3.30064*ii, .211183-.892179*ii, -6.28975-1.03673*ii
-.579306-.252182*ii, -2.13025+.683318*ii, -.577482-.098755*ii, 1.38119-1.43196*ii, .599464-.530553*ii, -1.35921+.802652*ii, .604977+.229032*ii, .16112+1.09493*ii, .847009+.108103*ii, 1.36691-2.16818*ii, .694194-.205128*ii, .900428-.221501*ii, .272027+.138502*ii, -1.33864+.91133*ii, .538885+1.0009*ii
-.356285+.263381*ii, -.518891-.200163*ii, -.213589-.43048*ii, -.196141-.410378*ii, 2.04071+.535191*ii, 2.02326+.515089*ii, -.362512-.372977*ii, 1.91376+2.18607*ii, -.0251128+.473753*ii, -.666862-1.44361*ii, -1.2556-.168385*ii, -.189915+1.06785*ii, 3.11986-2.88595*ii, .617813+.338697*ii, -2.88049-.066332*ii
3.1622+1.49466*ii, -.015802-.418663*ii, -.032934-2.8532*ii, .981182-.149582*ii, -.508018+.813964*ii, -1.52213-1.88965*ii, 1.89447-.054866*ii, -1.86822-.049146*ii, 1.58+2.76138*ii, -.185241+.138796*ii, -.315048-1.90655*ii, -.35711-.73349*ii, -1.19998+.838405*ii, -.793222+.162026*ii, -1.72584+1.23063*ii
-.904092-.455093*ii, 1.08789+1.3302*ii, -.75614+.033339*ii, -1.22451-.224678*ii, .0659347-.276175*ii, .534309-.018158*ii, -.856407+.668852*ii, .517575+.33504*ii, 1.33026-.049996*ii, -.407853+.17483*ii, .177569-.191795*ii, .652467-.365309*ii, .156762-1.39873*ii, .448301+.0275484*ii, .941314+.582405*ii
.044197+.373911*ii, 1.33376+1.86124*ii, .053228+.0682327*ii, -.0784588-.0060105*ii, .146913+.0069469*ii, .2786+.0811901*ii, .316534-.586996*ii, -.0283615+.199957*ii, .219018-.962067*ii, -.66802-.17244*ii, -.0824829-.0778864*ii, .196564-.11912*ii, -2.12584+.481368*ii, .0349528-.257402*ii, 1.85963-1.19401*ii
-2.33849+3.6907*ii, 2.38115-1.04265*ii, .307484+1.23531*ii, .221261+2.79636*ii, 1.59818-.374539*ii, 1.6844-1.93559*ii, 2.34141+.510257*ii, .397539+.391914*ii, -1.76938-2.1584*ii, -.120744+.166206*ii, .0120742-.345089*ii, .201159-.210771*ii, -1.76274-1.02173*ii, -.331058-.8343*ii, -.166417-3.12255*ii
.007962-1.96253*ii, 1.41461+1.94781*ii, -.268212-1.27858*ii, -.661354-.650119*ii, -.359071+.482443*ii, .0340705-.146014*ii, -.879255-.059561*ii, -1.12423+.793232*ii, 1.0148+.328608*ii, -.0954889+.264591*ii, .190266-.128018*ii, .650929-.139308*ii, .120254+1.96968*ii, .518507+.189506*ii, .672878-.722806*ii
-.00375691-.0469643*ii, -.0116494+.00441234*ii, .702912-.395106*ii, -6.11259-16.0499*ii, -1.79584-4.05559*ii, 5.01967+11.5993*ii, -15.9613-.50721*ii, 1.63511+.908231*ii, -22.1102+27.3649*ii, -6.03516-3.81572*ii, 20.2179-17.9035*ii, 7.16973+15.5405*ii, 38.5165+7.2479*ii, -.156529+.297772*ii, -17.9766-13.2271*ii
-1.79464-.558541*ii, 1.2679+.907037*ii, .086724+.672239*ii, -1.48414-.006195*ii, .605382+.287944*ii, 2.17624+.966378*ii, -.301418+1.53922*ii, .357504-.158416*ii, .582985-2.3259*ii, -.066556-.502612*ii, .266383+.550176*ii, -.150341-.327791*ii, -.734254-.076514*ii, -.161285+.939185*ii, 1.85165-1.99853*ii
.546917+.994703*ii, .0220778-.0554726*ii, -.624987+.167201*ii, -.57586+.073126*ii, .0179408+.00233007*ii, -.0311863+.0964054*ii, .388496+.719999*ii, -.139164-.117238*ii, .446577+.814317*ii, -.094276+.0249945*ii, .773281-1.68544*ii, -.1362+.553429*ii, .121035-1.47097*ii, -.0764232-.0801067*ii, .514427+.242242*ii
-.293614-.471178*ii, -.164828-.479531*ii, .23002-.152349*ii, .468771-.404157*ii, -.685022+.811205*ii, -.923773+1.06301*ii, -.743965+1.91702*ii, -.60365+.128758*ii, -.030743+.832579*ii, 1.9022-.62272*ii, 1.87671-1.1315*ii, .0137775+.496767*ii, .549365+.661508*ii, -.851924-.713434*ii, 1.0192-.995096*ii
-.113645-.14064*ii, -.406535-.530489*ii, -.0238221-.0156012*ii, -.0260596-.192795*ii, .0654618-.0007890*ii, .0676993+.176405*ii, -1.10698+1.20845*ii, .871687+.415516*ii, .884328+.687573*ii, .928612-.299442*ii, .24906-.0874553*ii, .149914-.0482441*ii, .819646-1.93707*ii, -.147646-.0965696*ii, -.387805+.922546*ii
-.113148-.0609934*ii, -1.09013-.436442*ii, -.0314253+.0116843*ii, .19316+.0422918*ii, .014989-.0694948*ii, -.209596-.100102*ii, -.525497+1.48268*ii, .726262+.256342*ii, 1.34505+.459144*ii, 1.22095-.512205*ii, .139147-.0405594*ii, .172069-.19602*ii, .044310-2.454*ii, -.169389-.0165147*ii, .016702+1.60988*ii
-13.0301+6.9203*ii, 6.46737-5.07044*ii, -1.50623+1.76587*ii, -3.3988+9.72651*ii, 7.36429+1.61785*ii, 9.25685-6.34279*ii, 9.19446+7.64717*ii, -.218053+.625894*ii, -2.45947-9.01537*ii, .0045372+.0861262*ii, .0191597-.153646*ii, .146305-.0578195*ii, -1.25486-4.48453*ii, -.655139-1.09083*ii, -2.33283-8.47229*ii
7.53717+1.23791*ii, -.20915+.0463919*ii, 9.54152-7.48016*ii, 3.71494+1.43423*ii, -2.91908+2.48007*ii, 2.90749-6.43433*ii, .89913-.106197*ii, -4.0893-.939461*ii, -1.90554+7.7136*ii, .106197-.0124804*ii, -3.68021-.995114*ii, 1.07396-1.16882*ii, -4.01761+4.10265*ii, .815879+.037396*ii, -10.0119-3.79595*ii
-.551167-.265282*ii, -1.94996+.61108*ii, .0586567+.364915*ii, .831329-1.8146*ii, .0085027+.488012*ii, -.764169+2.66753*ii, .235304+1.30352*ii, .435935+.515808*ii, 1.11119-.872456*ii, 1.53329-2.77422*ii, .902541-.292713*ii, -.345133-.495961*ii, -.121802+.0449599*ii, -1.58105+1.1223*ii, 2.07443-.123687*ii
-.252731-.580824*ii, -.204241-.274444*ii, .333331-.602082*ii, 1.10435-.185883*ii, -.065294-.896168*ii, -.83631-1.31237*ii, -1.42364+.833365*ii, .0644464-.431243*ii, -1.42446+.789035*ii, 1.37781+.257216*ii, 2.37602+1.0438*ii, .661617+.861779*ii, -.421754+1.05908*ii, -.198817-.86527*ii, -.182699+.118551*ii
5.08435+2.8077*ii, -.191192-.0195066*ii, 8.18396+.1545*ii, 3.00878+1.44252*ii, -1.94888-.541736*ii, 3.22629-1.82976*ii, -1.79389-2.65722*ii, .736119+.014878*ii, -3.52769+3.25913*ii, .124119-.0552821*ii, -4.10575+.066295*ii, 1.24634-.657872*ii, -3.23172-.324481*ii, .78628+.067414*ii, -5.20214-4.6531*ii
2.39459+2.57297*ii, .627324+.077209*ii, -.314748-.250831*ii, 1.96996-.090875*ii, -.140781+.0192627*ii, -2.42549-.140693*ii, .730766-2.79239*ii, .110076+1.8649*ii, -.470058+1.87331*ii, -.302319-.190486*ii, -.605646-1.89253*ii, -.113246+.0169334*ii, .087529+.0212839*ii, -.233815-1.23399*ii, -.711264-.038588*ii
-2.04579+1.37366*ii, -.452756+.658966*ii, -1.86775+3.31391*ii, -.186022-.904113*ii, .06265-3.34476*ii, -1.61908+.873259*ii, -.075795-.867707*ii, .470709+.234215*ii, -.902517-1.5714*ii, .695514-.425905*ii, 2.47656-.430139*ii, 1.37894-.693966*ii, .617515+.552038*ii, -.837828+1.82671*ii, 2.95365+.099158*ii
-.96626-1.41508*ii, 1.53792+1.36672*ii, -.831858-.544252*ii, -1.24352-.567754*ii, .141881+.252898*ii, .553539+.2764*ii, -1.16006+.462394*ii, -.047554+.886248*ii, 1.17641-.072178*ii, -.252368+.157031*ii, .235636-.0758562*ii, .536067-.221809*ii, 1.0886+.254165*ii, .466064+.205388*ii, .570635-.297717*ii
.58864-.619245*ii, .299648+1.64382*ii, .420768-.375335*ii, .192329-.584678*ii, -.0760648-.0785179*ii, .152374+.130825*ii, -.568224-.129217*ii, .0720867+.0239662*ii, .651057+.13869*ii, -.0875774-.284527*ii, -.0911229+.121935*ii, .657713+.054279*ii, -1.67734+.205095*ii, -.227744-.113252*ii, 1.08378-.256467*ii
.507375-.39107*ii, -.283814+1.86571*ii, .591293-.082084*ii, .595396-.116838*ii, .150043-.226918*ii, .145941-.192164*ii, .177982-.264381*ii, -.0980058-.0252773*ii, .314535-.269183*ii, .0804624-.498808*ii, -.136774+.103479*ii, .8093+.462003*ii, -2.59673-.017887*ii, -.154244-.284549*ii, 1.47099-.356166*ii
-.657768-.508611*ii, 7.65415+12.9505*ii, -2.56214-.69966*ii, -8.58146-.82678*ii, -2.2439-5.46637*ii, 3.77542-5.33925*ii, -1.96636-6.67271*ii, -.933777-.651808*ii, -.460182+.666759*ii, -11.1026+4.64127*ii, .475293-.465275*ii, 2.95243-1.21924*ii, -.0467447-.0360379*ii, 9.66351+2.594*ii, 2.48089+1.83086*ii
-1.79135+1.41556*ii, -.525611+.544445*ii, -.961205+2.88084*ii, -.753931-.610065*ii, -.552604-2.62413*ii, -.759878+.866772*ii, .225669+.390843*ii, -.253887-.417292*ii, -.74315-1.05548*ii, .786204-.514728*ii, 2.55849-1.22148*ii, 1.11263-.72897*ii, .438558+.383479*ii, -.679737+2.03498*ii, 2.73021-.588027*ii
1.58865+.386591*ii, .1795-.522804*ii, .439394+.0865275*ii, -.149246-.994567*ii, -.0893483-.363599*ii, .499291+.717496*ii, -2.13857-.212645*ii, 1.47164+.334646*ii, .474568+1.96697*ii, -.191815+.155297*ii, -.509549-.522756*ii, .273633-.0121213*ii, 1.37836-1.84053*ii, -.364763+.17256*ii, -1.49634+.495882*ii
1.76988+1.36806*ii, .0654566+.0330917*ii, .446048+.47037*ii, .611301+.380466*ii, .0246663+.0268499*ii, -.140587+.116754*ii, .275596-1.28606*ii, .220452+1.17894*ii, .448902+1.08637*ii, -.0580966-.0405739*ii, -1.50636-1.54977*ii, .286356+.0444196*ii, -.197888-1.43744*ii, -.0473165-.151291*ii, -.62457-.352802*ii
1.88715-.294478*ii, -2.03443-.356282*ii, .569721+1.27928*ii, -.114513+2.79642*ii, -.333162-1.43517*ii, .351071-2.95231*ii, 1.843-1.82196*ii, -2.78709+1.35852*ii, -.346016-.641928*ii, 1.26129+1.47415*ii, -1.54351-.914548*ii, .191453+.707764*ii, -.107007+.0079148*ii, 2.81433+2.41051*ii, -.994674-.065765*ii
-.120425-.709851*ii, -.829375-1.43569*ii, .435418-.249119*ii, 2.53546+.430322*ii, -.529557+.565445*ii, -2.6296-.113996*ii, -1.50055+1.16742*ii, .24977+1.10248*ii, -.361937+1.02312*ii, 3.38389-.293391*ii, 1.42179+.392445*ii, .239978+.654106*ii, .123397-.039404*ii, -.615769-2.36673*ii, .20914+.494085*ii
.186693+.132159*ii, 1.07605-13.0772*ii, -2.29273-1.40612*ii, -3.24855+5.54814*ii, 1.94147+8.6291*ii, 2.8973+1.67484*ii, 2.6558+9.10052*ii, -1.84503+.616618*ii, 3.41874-6.43488*ii, 5.09907+1.66269*ii, -.0701858+.0617669*ii, -11.7329+.77394*ii, 5.12065-2.88405*ii, .732218+.984302*ii, -1.34144-2.35013*ii
-.135611+.623415*ii, .622649-.501319*ii, 4.15698+2.08673*ii, 1.74018-.818555*ii, -4.58904-2.24952*ii, -2.17224+.655757*ii, -4.94529-.223203*ii, 1.63114+1.60461*ii, 1.96685+.879559*ii, 3.71532-.299727*ii, -2.15785+2.0478*ii, 1.81105-7.06204*ii, .887746+.169246*ii, -.316983+2.35683*ii, -.771591+.572437*ii
.019642+.534899*ii, .446074-.285598*ii, 1.56458-.410882*ii, 1.62659-.459741*ii, -1.51065-.362856*ii, -1.57266-.313996*ii, -1.6094-.499638*ii, .646583+1.51446*ii, .121505-.471915*ii, 1.73086-.816793*ii, -.177435+1.92595*ii, -.659852-2.94922*ii, .548862+1.37488*ii, .470898+.90979*ii, -.672236+.052746*ii
.448565+.252323*ii, .393123+.250752*ii, -1.02097+.08517*ii, -1.39285-.373791*ii, 1.46556+2.14418*ii, 1.83743+2.60314*ii, .022386+1.18632*ii, 1.94246+.564635*ii, 2.24293-.782153*ii, -1.10672-1.03002*ii, -1.28261-1.06752*ii, -1.64787+1.11682*ii, .078046-4.28897*ii, -.23654-.741281*ii, 1.28631+.16403*ii
-.524015-1.03381*ii, .549496+2.34986*ii, -.960716-.983398*ii, -.527261-.563888*ii, .337809-.459785*ii, -.095646-.879295*ii, .500408-.071059*ii, -.821895+.332636*ii, 1.42614-.237647*ii, -.512736-.17153*ii, .258767+.0216354*ii, 1.13155-.355738*ii, -1.1614+.872967*ii, .091352+.619956*ii, 1.16+.595562*ii
-.902889+.218337*ii, -1.50263-1.15892*ii, -.670365-.132832*ii, .664929+.755565*ii, 1.46873+.013879*ii, .13344-.874518*ii, 2.50433+1.24137*ii, -1.44381+.85697*ii, .673854-.639062*ii, 1.71057-.996658*ii, .143864-.958371*ii, .667837+.308616*ii, .0137624+.434086*ii, -1.32685+1.27335*ii, -.60419-.537636*ii
.658809+2.84523*ii, -.563617-1.2552*ii, 2.80357+10.4598*ii, -.663825-4.28061*ii, -2.20972-6.84844*ii, 1.25768+7.89193*ii, -12.7726-3.76622*ii, 10.3755+.87588*ii, -4.21017+4.32913*ii, .0748975+.251314*ii, -.052876-.554096*ii, 3.70572-.127305*ii, 8.11042-9.20536*ii, -.665702+.378668*ii, -1.06042-.171162*ii
.225211-4.50747*ii, .554876+.126161*ii, 1.57761-4.52607*ii, -1.143-1.29103*ii, 2.21399+2.00098*ii, 4.9346-1.23406*ii, -1.88553+3.26625*ii, .173605-.7144*ii, 2.762+.949278*ii, -.289136-.302199*ii, -1.96453+2.67278*ii, 1.01907+.299082*ii, -.466624+.695582*ii, -1.42727+1.23521*ii, -4.08538-.540793*ii
.062083+4.12688*ii, -.0293943-.498189*ii, -4.44777-1.73256*ii, 2.35266-.550596*ii, .990158-2.08246*ii, -5.81028-3.26442*ii, 2.43291-1.23073*ii, .147244-.151488*ii, -1.7808+1.96914*ii, -.628399+.137587*ii, 5.24198-.90876*ii, -.435937+1.0712*ii, -.257247+.202044*ii, -.606819-2.58478*ii, .510742+4.48718*ii
2.75378-.327049*ii, -1.79687-.393101*ii, 1.30195+.869363*ii, -1.37274+1.2084*ii, -.766466-1.35626*ii, 1.90823-1.6953*ii, .865179-.420872*ii, -2.59222-.43549*ii, .221905+.749894*ii, .355972+1.31947*ii, -1.15846-1.70391*ii, .42924+.366676*ii, -.0267342+.105115*ii, 1.4118+3.51711*ii, -1.37735-.652128*ii
-.017827-.819508*ii, .993012-.642595*ii, .777075-.035589*ii, -.651818+1.56978*ii, -1.01737+.079106*ii, .411525-1.52627*ii, -1.58708+1.7472*ii, -.840346-.531623*ii, -.769237+.680598*ii, 1.336+1.72392*ii, 1.50289-.16097*ii, .022790+.948717*ii, -.0901647-.306274*ii, 1.38895-1.1256*ii, .155307-.753866*ii
-4.94628-1.09269*ii, .036213+.197567*ii, -9.5227+.50453*ii, -2.73764-1.01349*ii, 2.78325-1.23105*ii, -4.00181+.286973*ii, .663551+.164981*ii, 1.38898+4.88677*ii, 6.00502+.742554*ii, -.10603+.0128847*ii, .738659-2.59045*ii, 1.81416-.502769*ii, 8.52466-5.95071*ii, .538535+.052127*ii, .42860+8.23008*ii
-.164304+.288878*ii, .094491+.821966*ii, .0659357+.0317179*ii, .227001-.0162939*ii, .0205891-.0323895*ii, -.140476+.0156223*ii, .2698+.0860658*ii, -.044088+.542163*ii, .281779-.549105*ii, .335938-.608888*ii, .253309-.117722*ii, -.0151287-.219643*ii, -.715357-.067751*ii, .120699+.197088*ii, .930475-.366628*ii
-.071984+.341863*ii, .914992+.117188*ii, -.826359+1.22841*ii, -.93416+1.53297*ii, 2.11312-2.93128*ii, 2.22092-3.23585*ii, -.449201-.410339*ii, .741471-.959256*ii, .183436+1.54599*ii, -1.08274+2.65706*ii, -.970229-.489311*ii, 3.92809+1.59011*ii, -1.92363-3.0387*ii, -.830411-.561416*ii, -1.53719+.847475*ii
1.18075+.226453*ii, -1.0304+.024433*ii, -.313887+.0445945*ii, .0546682-.00206883*ii, .0235529-.334361*ii, -.345003-.287697*ii, -.389309+.26858*ii, .810001+.099024*ii, 1.38736+.481439*ii, .288647-.0114229*ii, -.331895-.058217*ii, -.249419+.0856034*ii, -.632282-2.706*ii, .343407+.0518774*ii, .278294+2.17028*ii
-3.457+7.14822*ii, 9.38535-4.16241*ii, -9.39929-1.87474*ii, 6.01417+2.16907*ii, 7.1972+2.6455*ii, -8.21626-1.39831*ii, 3.91492-4.60144*ii, 3.91652+6.33412*ii, .0707111-.386082*ii, -.95058+1.31858*ii, -.098313-1.25329*ii, .302822+1.16846*ii, -.0103643-.0448474*ii, -6.13938-11.3533*ii, -.312081+.20089*ii
-1.60387+.155728*ii, 1.95311-.784767*ii, -.691157+.573482*ii, -.173355+.379412*ii, 1.31419+.295727*ii, .796388+.489797*ii, -.210579+.11708*ii, .32589+1.63507*ii, .157126-1.15773*ii, .592279-.023258*ii, -.440113-.110515*ii, .461299-.312771*ii, 1.30042+.699355*ii, -.946317+.129538*ii, -.325479-2.27048*ii
.504535-.225996*ii, .922944+1.13826*ii, .00715052+.0197814*ii, -.0573593-.028897*ii, .0239813-.00624479*ii, .0884912+.0424335*ii, -.0266223-.424471*ii, -.402828+.128013*ii, .286337-.811612*ii, -.109236+.173914*ii, .0528002+.0567015*ii, -.00282307+.0379426*ii, -1.65458+.978663*ii, -.0158093+.112433*ii, 1.54305-1.02146*ii
1.7609-.465529*ii, .672555+.025266*ii, .036912-.552103*ii, .571402-1.42398*ii, .320553-.620277*ii, -.213937+.251603*ii, -2.03307-1.70253*ii, .985234+.849746*ii, .127869+.827608*ii, -.302391+.277956*ii, -.563333+.958222*ii, .0970673-.287873*ii, .765938+.984762*ii, -.403083+.630224*ii, -1.24962+.111829*ii
.235285-.28561*ii, -.158691+.85906*ii, .0366327-.0899672*ii, .0290616-.258682*ii, .0456485+.0212513*ii, .0532195+.189966*ii, -.52833+.476947*ii, .593818+.218987*ii, 1.15+.024265*ii, .270644-.379666*ii, -.178258+.08503*ii, .250596-.0781795*ii, -.96937-1.38618*ii, -.0447578-.166628*ii, .871163+.707333*ii
.226991+.483644*ii, .327105+.844853*ii, 1.25455-.147964*ii, 1.38034-.235326*ii, -2.37306-1.02817*ii, -2.49885-.940803*ii, -.629738-.717583*ii, -1.45175+1.02604*ii, -.416518+.850344*ii, 1.75878-.226609*ii, 1.02541-.205252*ii, .746964-2.24338*ii, .080769+2.88013*ii, .508826+.799185*ii, .331863-.493651*ii
.459741-.0462815*ii, .369615+.194889*ii, -.168362+.0670482*ii, -.256941+.0524063*ii, .00425268-.0183152*ii, .092832-.0036733*ii, -.401738+.365309*ii, .0953033-.0459611*ii, .492347-.411819*ii, .229399+.221306*ii, .346664+.0637565*ii, -.37707+.10788*ii, -.774864-.388475*ii, .115707+.0911264*ii, .95661-.03031*ii
-.0493922+.349595*ii, .113255+1.83317*ii, -.164985+.348654*ii, .680768-1.90738*ii, .438082-.915424*ii, -.407671+1.34061*ii, -1.97982-2.37717*ii, 2.13885+2.35862*ii, -.898431+1.5018*ii, -.837424-1.4103*ii, -.103298-.297895*ii, 1.04316+.32455*ii, 2.85951-.990567*ii, .534394-.223102*ii, -1.12493+.093092*ii
.228238-1.10853*ii, 3.33679+.600182*ii, -1.65208+.737555*ii, -6.42474+6.27494*ii, -4.56408-4.18672*ii, .20857-9.7241*ii, -.53786+.61717*ii, -5.73266-2.42219*ii, -.078394-1.04206*ii, -.66266+8.70287*ii, 2.89877+.294029*ii, -.93266-1.29831*ii, -.0623974-.0116253*ii, 9.49613+2.7209*ii, 1.30785+3.58111*ii
-3.03727-1.60859*ii, .0792212+.0209617*ii, -4.27671-2.2187*ii, -2.83655-1.91596*ii, .432447-.509081*ii, -1.00772-.81182*ii, -1.78095+3.81972*ii, .616753+.441781*ii, 3.09519+3.56449*ii, -.070942+.054966*ii, 3.42004-1.5718*ii, 1.40177-.011910*ii, 6.08466-3.50294*ii, .303888-.0528297*ii, -1.59084+5.40833*ii
.60852+.173073*ii, -.0169337+.283267*ii, -.167016+.210502*ii, -.107406+.200081*ii, .00184453-.0273219*ii, -.0577659-.0169008*ii, .0995488+.140006*ii, -.248676+.189914*ii, .338122-.0822349*ii, .291835+.0620486*ii, .275407-.605478*ii, -.162899+.392255*ii, -.604806-.47427*ii, .166848+.0882666*ii, .843029-.154423*ii
2.15812+.20736*ii, -.433649+.0262412*ii, -2.12031+.721476*ii, -1.2863-1.04651*ii, -.698359-.13891*ii, -1.53237+1.62907*ii, .312356-.0123473*ii, -1.10452-.404107*ii, 1.75597+.647017*ii, -.146465+.545088*ii, 1.14527-2.57337*ii, -.941667+.424787*ii, .412598-.236365*ii, -.429118+1.14599*ii, 2.53364+1.1669*ii
.817859-.402879*ii, .8399+.267482*ii, -.724156-.359003*ii, -.456016-.269943*ii, -.595438-.624525*ii, -.863578-.713586*ii, -.827642-.182754*ii, -.451917-.136587*ii, .762823-.351418*ii, .145908+.96577*ii, .801275+.615257*ii, -.538523-.704233*ii, -.476993+.978059*ii, .508421+.731081*ii, 1.00061+.817321*ii
1.02826+.085442*ii, .84843+.142526*ii, -.814968-.322902*ii, .1694-.0146377*ii, .432966-.0534858*ii, -.551402-.36175*ii, .328621-.829267*ii, -.333746+.315653*ii, .655181-1.18137*ii, -.0993195+.468391*ii, -.071832+.569735*ii, -.81305-.246468*ii, -1.35946+1.16051*ii, -.142146+.473142*ii, 1.07816-.092623*ii
-.69609-.143598*ii, .700485-.133007*ii, -.863088+.366288*ii, .940605-.598525*ii, .866144-.49646*ii, -.937548+.468352*ii, -.969566-1.47741*ii, .885425+2.68018*ii, .57273+.16091*ii, .805884-.478057*ii, -.924336+.134342*ii, 1.08517-.750071*ii, 2.22779+.321846*ii, -.629616+.217048*ii, -1.07819-.160845*ii
.46286-.862455*ii, -.0684028+.410116*ii, -.247496+1.78087*ii, -1.19635+.885468*ii, .244424+1.76855*ii, 1.19328+2.66395*ii, -.245187+1.54872*ii, 1.07488-.103799*ii, 2.7253-2.86938*ii, .617469-.154658*ii, -1.4935-.122542*ii, -1.72272+.637575*ii, -2.7155-3.71185*ii, .152416-.604124*ii, 4.32708-.148475*ii
-1.12968+1.0117*ii, 1.49332-4.194*ii, -.781091+.305247*ii, -.211192+1.75065*ii, 2.3753+.379139*ii, 1.8054-1.06627*ii, 1.08928+2.44535*ii, -.456092-.0815841*ii, .515329-.700687*ii, 1.59167+1.11812*ii, -.294174-.593703*ii, .517977+.193677*ii, .255236+.106177*ii, -2.92928+.347177*ii, -1.97477-2.30062*ii
-.813257-.256132*ii, -1.00024+.663489*ii, -.656755+.249719*ii, .323481-1.45767*ii, .121981-.660176*ii, -.858254+1.04722*ii, -.317965+.788334*ii, .400492+.345612*ii, .883765-.076278*ii, .93428-1.41064*ii, 1.19649-.11403*ii, .646706-.510738*ii, .322461-.0086038*ii, -1.12112+.907916*ii, 1.1947+.727214*ii
